,abnormal nervous system development:-log(OR_p),abnormal nervous system development:log_OR,abnormal nervous system development:num_genes,abnormal nervous system development:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal neuron differentiation:-log(OR_p),abnormal neuron differentiation:log_OR,abnormal neuron differentiation:num_genes,abnormal neuron differentiation:gene_ids,abnormal cholinergic neuron morphology:-log(OR_p),abnormal cholinergic neuron morphology:log_OR,abnormal cholinergic neuron morphology:num_genes,abnormal cholinergic neuron morphology:gene_ids,increased neuron apoptosis:-log(OR_p),increased neuron apoptosis:log_OR,increased neuron apoptosis:num_genes,increased neuron apoptosis:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,decreased neuron number:-log(OR_p),decreased neuron number:log_OR,decreased neuron number:num_genes,decreased neuron number:gene_ids,abnormal neuronal migration:-log(OR_p),abnormal neuronal migration:log_OR,abnormal neuronal migration:num_genes,abnormal neuronal migration:gene_ids,abnormal miniature excitatory postsynaptic current amplitude:-log(OR_p),abnormal miniature excitatory postsynaptic current amplitude:log_OR,abnormal miniature excitatory postsynaptic current amplitude:num_genes,abnormal miniature excitatory postsynaptic current amplitude:gene_ids,increased excitatory postsynaptic current amplitude:-log(OR_p),increased excitatory postsynaptic current amplitude:log_OR,increased excitatory postsynaptic current amplitude:num_genes,increased excitatory postsynaptic current amplitude:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C127,7.549037453041404,1.2568727289033657,25,ARFGEF1 CRKL DCTN5 DYNC1H1 DYNLL1 DYNLRB1 ENAH ERBB2 ERBB3 IGF1R LRP8 MAP2K4 MARCKSL1 MTOR NTRK1 PFDN1 PKMYT1 PMM2 RAPGEF1 RELN SPINT1 SPTAN1 TMED10 TMED2 TRIP6,6.939030398750708,1.1509802741854251,28,ABCA2 ANK2 ARCN1 ARF4 ARFGEF1 ARHGEF9 ATRN DYNC1H1 DYNC1LI1 DYNLRB1 ENAH ENTPD3 ERBB2 ERBB3 GABRB3 GLRB HOMER1 IGF1R KIF21B LRP8 LRPAP1 MAP2K4 MTCL1 NTRK1 PDE6D RELN SPTAN1 SPTBN2,4.707518518427307,1.4980527917266642,9,ARFGEF1 DYNC1H1 DYNLRB1 ENAH ERBB2 ERBB3 MAP2K4 NTRK1 RELN,4.501667030009548,3.1846041893397796,2,ERBB2 NTRK1,4.35035260653697,1.7381212550969583,6,ARFGEF1 COPB2 DYNC1H1 ERBB3 NOVA1 NTRK1,4.230307794706555,1.5867149634403805,7,ARFGEF1 COPB2 DYNC1H1 ERBB3 MAP2K4 NOVA1 NTRK1,4.225203386374196,1.3398529758828541,10,ARCN1 DYNC1H1 ENTPD3 ERBB2 ERBB3 IGF1R LRP8 NTRK1 PDE6D RELN,4.059361444458718,1.8253379713128162,5,DYNC1H1 DYNC1LI1 ERBB3 LRP8 RELN,3.966349667126818,2.9161261158249943,2,ANK2 ARF4,3.85141926108774,2.8589141730928134,2,GABRB3 SPTBN2,CD_1D_vitaminreposn-brain_malform systems map,0,4,0.0,0.03305785123966942,0.0,0.9669421487603306
C128,2.481711392574651,1.0249217556541392,10,DCTN5 DYNC1H1 DYNLL1 DYNLRB1 MARCKSL1 PFDN1 PMM2 SPTAN1 TMED10 TMED2,2.09877919417452,0.8914127898258215,11,ANK2 ARCN1 ARF4 DYNC1H1 DYNC1LI1 DYNLRB1 HOMER1 KIF21B MTCL1 SPTAN1 SPTBN2,0.45121264766053665,0.6691762765299707,2,DYNC1H1 DYNLRB1,-0.0,0.0,0,,2.5092786860504632,1.7683127958450022,3,COPB2 DYNC1H1 NOVA1,1.8309025878391287,1.454377728224003,3,COPB2 DYNC1H1 NOVA1,0.23663193081990844,0.3992084570297987,2,ARCN1 DYNC1H1,1.5907877256469984,1.6175220308340599,2,DYNC1H1 DYNC1LI1,5.8797563878799215,3.673264474938592,2,ANK2 ARF4,2.232686105625162,2.8510853813579944,1,SPTBN2,COPI-mediated anterograde transport,0,2,0.0,0.034482758620689655,0.0,0.9655172413793104
C129,6.531268974791615,1.5445129123297736,15,ARFGEF1 CRKL ENAH ERBB2 ERBB3 IGF1R LRP8 MAP2K4 MTOR NTRK1 PKMYT1 RAPGEF1 RELN SPINT1 TRIP6,4.76073327541695,1.2931863746537893,15,ABCA2 ARFGEF1 ATRN ENAH ENTPD3 ERBB2 ERBB3 HOMER1 IGF1R LRP8 LRPAP1 MAP2K4 NTRK1 PDE6D RELN,6.221744246756645,2.030684598078368,7,ARFGEF1 ENAH ERBB2 ERBB3 MAP2K4 NTRK1 RELN,6.49381128827508,3.94174182900621,2,ERBB2 NTRK1,2.5092786860504632,1.7683127958450022,3,ARFGEF1 ERBB3 NTRK1,3.137437442427464,1.76470920696147,4,ARFGEF1 ERBB3 MAP2K4 NTRK1,6.203650115385384,1.9129205922210488,8,ENTPD3 ERBB2 ERBB3 IGF1R LRP8 NTRK1 PDE6D RELN,3.200451607118062,2.0486639192548406,3,ERBB3 LRP8 RELN,-0.0,0.0,0,,-0.0,0.0,0,,C129,0,2,0.0,0.034482758620689655,0.0,0.9655172413793104
C137,0.19991099144832483,0.5095119759202298,1,PMM2,0.7567094561651311,1.08777317370933,2,ARF4 HOMER1,-0.0,0.0,0,,-0.0,0.0,0,,1.8262665500868434,2.588622957333337,1,COPB2,1.4937902241620784,2.277751976836031,1,COPB2,-0.0,0.0,0,,-0.0,0.0,0,,5.133839885428553,4.871426439480601,1,ARF4,-0.0,0.0,0,,C137,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C131,0.9842237157728133,0.8856906831955254,4,DYNLL1 PMM2 TMED10 TMED2,0.6154507355178795,0.636124878020361,4,ARF4 DYNC1LI1 HOMER1 KIF21B,-0.0,0.0,0,,-0.0,0.0,0,,0.8049080413075442,1.4482760449043361,1,COPB2,0.575622391523523,1.137401967331959,1,COPB2,-0.0,0.0,0,,1.036579444583725,1.7249661104435177,1,DYNC1LI1,3.438364877567405,3.731087154766495,1,ARF4,-0.0,0.0,0,,COPI-mediated anterograde transport,0,2,0.0,0.07692307692307693,0.0,0.9230769230769231
C130,3.1972524981628405,1.4941746352979504,7,CRKL ERBB2 ERBB3 IGF1R MTOR NTRK1 SPINT1,0.5087496370563296,0.5489968353361476,4,ERBB2 ERBB3 IGF1R NTRK1,2.6750910735360263,1.8857701036902945,3,ERBB2 ERBB3 NTRK1,8.717129024740789,4.710595788285134,2,ERBB2 NTRK1,2.36917789546638,2.1078794770003704,2,ERBB3 NTRK1,1.8296728416561614,1.7954850748980302,2,ERBB3 NTRK1,3.478664826062172,1.945964631607291,4,ERBB2 ERBB3 IGF1R NTRK1,0.9710603248779164,1.6478978881711654,1,ERBB3,-0.0,0.0,0,,-0.0,0.0,0,,C130,0,1,0.0,0.03571428571428571,0.0,0.9642857142857143
C145,1.5437229250141635,1.896796246273417,2,RAPGEF1 RELN,3.3374886758697304,3.035186059776734,4,ATRN ENTPD3 LRPAP1 RELN,1.5344434550701107,2.391744063633377,1,RELN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.3422715878145537,3.0410997304459197,2,ENTPD3 RELN,2.619247640990183,3.335475202884708,1,RELN,-0.0,0.0,0,,-0.0,0.0,0,,C145,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C136,0.19991099144832483,0.5095119759202298,1,MTOR,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C136,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C143,1.3411209332013068,1.6735955537346552,2,IGF1R MTOR,0.21334681330438932,0.5482298059928752,1,IGF1R,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.1381688594397417,1.9401032784793735,1,IGF1R,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C143,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C160,-0.0,0.0,0,,1.7148682796136439,2.340827492030492,2,ARF4 HOMER1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,6.165127312623274,5.852521713615973,1,ARF4,-0.0,0.0,0,,C160,0,1,0.0,0.25,0.0,0.75
