,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,decreased excitatory postsynaptic current amplitude:-log(OR_p),decreased excitatory postsynaptic current amplitude:log_OR,decreased excitatory postsynaptic current amplitude:num_genes,decreased excitatory postsynaptic current amplitude:gene_ids,abnormal excitatory postsynaptic current amplitude:-log(OR_p),abnormal excitatory postsynaptic current amplitude:log_OR,abnormal excitatory postsynaptic current amplitude:num_genes,abnormal excitatory postsynaptic current amplitude:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C303,15.298542747486756,3.5850317163122787,8,AMPH DNAJC6 DNM1 DNM3 PACSIN1 SH3GL2 SNAP91 STON2,12.393678803743594,2.0985780344480354,14,ATP6V0A1 DNM1 DNM3 LGI1 MAPT PACSIN1 SCAMP5 SH3GL2 SNAP25 SNAP91 SNCA SYT1 SYT2 VAMP2,11.010931800659352,2.500606928677331,9,ATP6V0A1 DNAJC6 DNM1 DNM3 EPS15L1 PACSIN1 SH3GL2 SNAP91 STON2,10.210182979735292,2.5539535884805016,8,DNAJC6 DNM1 DNM3 EPS15L1 PACSIN1 SH3GL2 SNAP91 STON2,8.664500213937577,0.9191944068635056,54,AATK AP4B1 ASAH1 ATL1 ATP2B1 ATP6V0A1 ATP8B1 CAMSAP2 CDK20 CFL1 CLCN6 COLQ DGKB DLG5 DNAJC30 DNAJC5 DNAJC6 DNM1 DNM2 DNM3 EPS15L1 FIG4 GLRB GPM6A GPR158 HDAC6 IGSF3 KCND2 KLC1 MAP1B MAPT MBD5 MFN2 NEFL PACSIN1 PEX11B PI4K2A PIK3R4 PLD2 SH3GL2 SIRT2 SNAP91 SNCA STAM STON2 STUB1 STXBP1 SYNJ2 TANC1 TDO2 TUBB4A VAMP2 VAMP7 ZFYVE26,7.042282019280983,0.9582853933320283,37,AAK1 ATP6V0A1 ATP8B1 CCSAP COPS7A DGKB DNAJC5 DNM1 DNM3 GPR158 ITPKA KCND2 KCNIP3 LGI1 MAPT PACSIN1 PAH PBRM1 RALBP1 SCAMP5 SH3GL2 SLC18A3 SLC44A4 SNAP25 SNAP91 SNCA STON2 STXBP1 SYNJ1 SYP SYT1 SYT2 TDO2 TSPAN13 UBE3C UNC80 VAMP2,6.9467138407535245,0.9510129592571364,37,AAK1 ATP6V0A1 ATP8B1 CCSAP COPS7A DGKB DNAJC5 DNM1 DNM3 GPR158 ITPKA KCND2 KCNIP3 LGI1 MAPT PACSIN1 PAH PBRM1 RALBP1 SCAMP5 SH3GL2 SLC18A3 SLC44A4 SNAP25 SNAP91 SNCA STON2 STXBP1 SYNJ1 SYP SYT1 SYT2 TDO2 TSPAN13 UBE3C UNC80 VAMP2,6.006269776767431,2.3773375196393642,5,DNM3 PACSIN1 SH3GL2 SNAP91 SYT1,5.839613145512997,2.104469545030631,6,DNM3 PACSIN1 SCAMP5 SH3GL2 SNAP91 SYT1,4.833327839524192,2.8094242868727175,3,SH3GL2 SYNJ1 SYT1,CD_4_notcateg-PD systems map,3,5,0.010638297872340425,0.01773049645390071,0.0070921985815602835,0.9645390070921986
C304,2.503744022317928,2.196337873799827,2,SH3GL2 SNAP91,9.192139667876328,2.082288988752536,10,ATP6V0A1 LGI1 MAPT SCAMP5 SH3GL2 SNAP25 SNAP91 SNCA SYT1 VAMP2,2.1862676208359253,1.6241793053136249,3,ATP6V0A1 SH3GL2 SNAP91,1.2275493661985482,1.3682066331014067,2,SH3GL2 SNAP91,6.224679788386787,0.9097352531021787,38,ASAH1 ATL1 ATP2B1 ATP6V0A1 ATP8B1 CAMSAP2 CDK20 CFL1 CLCN6 COLQ DGKB DLG5 FIG4 GLRB GPM6A GPR158 HDAC6 IGSF3 KCND2 KLC1 MAP1B MAPT MBD5 MFN2 NEFL PIK3R4 PLD2 SH3GL2 SIRT2 SNAP91 SNCA STUB1 STXBP1 TANC1 TDO2 TUBB4A VAMP2 ZFYVE26,5.06521963207127,0.9467519675486749,26,ATP6V0A1 ATP8B1 CCSAP COPS7A DGKB GPR158 ITPKA KCND2 KCNIP3 LGI1 MAPT PAH PBRM1 RALBP1 SCAMP5 SH3GL2 SNAP25 SNAP91 SNCA STXBP1 SYP SYT1 TDO2 TSPAN13 UBE3C VAMP2,4.99770637637418,0.9395546047047638,26,ATP6V0A1 ATP8B1 CCSAP COPS7A DGKB GPR158 ITPKA KCND2 KCNIP3 LGI1 MAPT PAH PBRM1 RALBP1 SCAMP5 SH3GL2 SNAP25 SNAP91 SNCA STXBP1 SYP SYT1 TDO2 TSPAN13 UBE3C VAMP2,3.409955822900285,2.154261558175981,3,SH3GL2 SNAP91 SYT1,3.902648281764046,2.010771824178569,4,SCAMP5 SH3GL2 SNAP91 SYT1,3.3453607788037996,2.676340969118865,2,SH3GL2 SYT1,exocytic vesicle membrane,3,4,0.01507537688442211,0.020100502512562814,0.0,0.964824120603015
C306,28.855297689216663,5.166755628535488,8,AMPH DNAJC6 DNM1 DNM3 PACSIN1 SH3GL2 SNAP91 STON2,11.737705867873114,2.8896818648022276,7,DNM1 DNM3 PACSIN1 SH3GL2 SNAP91 SYT1 SYT2,21.88596642665237,3.9410573248328093,8,DNAJC6 DNM1 DNM3 EPS15L1 PACSIN1 SH3GL2 SNAP91 STON2,23.427424232614896,4.135694404039706,8,DNAJC6 DNM1 DNM3 EPS15L1 PACSIN1 SH3GL2 SNAP91 STON2,3.9528182658142463,1.1419545944669416,15,AP4B1 DNAJC6 DNM1 DNM2 DNM3 EPS15L1 PACSIN1 PEX11B PI4K2A SH3GL2 SNAP91 STAM STON2 SYNJ2 VAMP7,5.481593696983983,1.4499151128239713,13,AAK1 DNM1 DNM3 PACSIN1 RALBP1 SH3GL2 SLC18A3 SNAP91 STON2 SYNJ1 SYT1 SYT2 UNC80,5.433983141439301,1.4428052581640411,13,AAK1 DNM1 DNM3 PACSIN1 RALBP1 SH3GL2 SLC18A3 SNAP91 STON2 SYNJ1 SYT1 SYT2 UNC80,14.392649910392043,3.918667548146815,5,DNM3 PACSIN1 SH3GL2 SNAP91 SYT1,11.808479355379486,3.4396164915661007,5,DNM3 PACSIN1 SH3GL2 SNAP91 SYT1,10.310099540674878,4.3251468821940025,3,SH3GL2 SYNJ1 SYT1,Clathrin-mediated endocytosis,0,1,0.0,0.015384615384615385,0.03076923076923077,0.9538461538461538
C307,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.45122182553656015,0.3749453909862357,7,DNAJC30 DNAJC5 FIG4 MBD5 PIK3R4 TDO2 ZFYVE26,0.19434509662929883,0.24353059998635374,4,DNAJC5 PAH TDO2 UBE3C,0.18778339005059871,0.23647819550963334,4,DNAJC5 PAH TDO2 UBE3C,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C307,1,3,0.017543859649122806,0.05263157894736842,0.0,0.9298245614035088
C310,2.7655288838579315,3.252145404623553,1,DNAJC6,-0.0,0.0,0,,1.5874828639774823,2.2808244371578468,1,DNAJC6,1.773459216064781,2.4499275980214055,1,DNAJC6,0.26653540152882516,0.325503205250639,4,DNAJC30 DNAJC5 DNAJC6 TUBB4A,0.29331179562188725,-0.6707095651357093,1,DNAJC5,0.29711188875389527,-0.6777425843377145,1,DNAJC5,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C310,0,2,0.0,0.058823529411764705,0.029411764705882353,0.9117647058823529
C318,3.8964151264609463,4.041561588904033,1,DNAJC6,-0.0,0.0,0,,2.496390342300531,3.0702424636578023,1,DNAJC6,2.7232900609706885,3.2393451633031516,1,DNAJC6,0.7631507141415446,0.8744548516962709,3,AP4B1 DNAJC6 TUBB4A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Golgi Associated Vesicle Biogenesis,0,0,0.0,0.0,0.0625,0.9375
C333,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.14719934384732594,0.3940208494092836,1,CFL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C333,1,0,0.125,0.0,0.0,0.875
C334,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C334,1,0,0.125,0.0,0.0,0.875
C309,6.736467241464625,3.961906342707735,2,SH3GL2 SNAP91,19.258619610574474,3.761092940300929,8,LGI1 MAPT SCAMP5 SH3GL2 SNAP25 SNAP91 SNCA SYT1,4.205887931192735,2.9614569998697426,2,SH3GL2 SNAP91,4.620653774795388,3.13378773087339,2,SH3GL2 SNAP91,7.487068302324292,1.8949668925921106,14,ATL1 CAMSAP2 COLQ DGKB GLRB GPM6A GPR158 MAPT NEFL SH3GL2 SNAP91 SNCA STXBP1 TUBB4A,11.441479781727487,2.3868792299263912,14,CCSAP DGKB GPR158 LGI1 MAPT SCAMP5 SH3GL2 SNAP25 SNAP91 SNCA STXBP1 SYP SYT1 TSPAN13,11.378344678066677,2.3797635963469705,14,CCSAP DGKB GPR158 LGI1 MAPT SCAMP5 SH3GL2 SNAP25 SNAP91 SNCA STXBP1 SYP SYT1 TSPAN13,9.482440347231382,3.9445995290448685,3,SH3GL2 SNAP91 SYT1,11.517910459407465,3.826774779056896,4,SCAMP5 SH3GL2 SNAP91 SYT1,7.932194680749273,4.44190570314872,2,SH3GL2 SYT1,synaptic vesicle endocytosis,1,2,0.027777777777777776,0.05555555555555555,0.0,0.9166666666666666
C311,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.3364106791076614,0.39461278327912375,4,FIG4 MBD5 PIK3R4 ZFYVE26,0.2598732859683786,-0.6080764431565111,1,UBE3C,0.26352892766409164,-0.6151094178351375,1,UBE3C,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C311,1,1,0.03125,0.03125,0.0,0.9375
