,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,neuronal intranuclear inclusions:-log(OR_p),neuronal intranuclear inclusions:log_OR,neuronal intranuclear inclusions:num_genes,neuronal intranuclear inclusions:gene_ids,decreased myelin sheath thickness:-log(OR_p),decreased myelin sheath thickness:log_OR,decreased myelin sheath thickness:num_genes,decreased myelin sheath thickness:gene_ids,loss of dopaminergic neurons:-log(OR_p),loss of dopaminergic neurons:log_OR,loss of dopaminergic neurons:num_genes,loss of dopaminergic neurons:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,abnormal excitatory postsynaptic current frequency:-log(OR_p),abnormal excitatory postsynaptic current frequency:log_OR,abnormal excitatory postsynaptic current frequency:num_genes,abnormal excitatory postsynaptic current frequency:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C225,6.194077083902301,2.159124731103949,6,ATP13A2 HDAC6 LRRK2 PRNP STUB1 TMEM175,5.824665720624414,3.151144949236423,3,ELOVL1 PNPLA1 SPTLC2,5.659445350560727,1.251938769981722,16,AP1G1 ATP8A2 ATP8B1 CASP3 CTSD DCTN1 GRID1 MAN2C1 MCOLN3 PARK7 PDCL POLG PRNP PRSS56 STUB1 TUBB4A,4.886204344218832,0.7858972369516426,38,ADAP1 ADRB2 AP1G1 ATP13A2 ATP2B1 ATP8A2 ATP8B1 BCAS1 CASP3 CDK5 CLSTN1 CLTB CMTM6 CTSD DCTN1 DNAJC30 FA2H FMR1 GRID1 HDAC6 LRRK2 MAN2C1 MCOLN3 PANK2 PARK7 PDCL PLD2 PNKP POLG PRNP PRSS56 SIRT2 SNCG STUB1 TMEM175 TUBB4A VAMP2 VAPB,3.577507215777662,2.8364461054923007,2,FMR1 PRNP,2.8858906449166484,2.430711999399998,2,BCAS1 TUBB4A,2.775052337202561,2.3661196699813196,2,PARK7 TMEM175,2.7186539013007827,1.0199755950926956,10,ADRB2 ATP13A2 ATP2B1 CERS6 CTSD FA2H LRRK2 PNKP PRNP TUBB4A,2.671342634786534,2.3054412369882913,2,BCAS1 TUBB4A,2.4826768962419594,2.1941079708371714,2,CLSTN1 LRRK2,CD_3_NBIA-PD systems map,2,11,0.00909090909090909,0.05,0.004545454545454545,0.9363636363636364
C226,-0.0,0.0,0,,7.051315189378692,4.15574252772166,2,PNPLA1 SPTLC2,1.918305765348385,1.3132224042173721,4,GRID1 MCOLN3 PDCL POLG,0.6630996538464726,0.5031292502618427,7,ADAP1 BCAS1 FA2H GRID1 MCOLN3 PDCL POLG,-0.0,0.0,0,,2.6142644791938925,3.154497290931995,1,BCAS1,-0.0,0.0,0,,0.6190240164489108,0.8494323715264898,2,CERS6 FA2H,2.466964272008611,3.036607599985409,1,BCAS1,-0.0,0.0,0,,ceramide biosynthetic process,1,3,0.0196078431372549,0.058823529411764705,0.0,0.9215686274509804
C227,1.3257095192527537,2.0251606223640843,1,ATP13A2,-0.0,0.0,0,,2.618331087390313,1.6086757172752506,4,ATP8A2 ATP8B1 MCOLN3 PRSS56,1.3080932230008668,0.8222835886019357,7,ATP13A2 ATP2B1 ATP8A2 ATP8B1 CMTM6 MCOLN3 PRSS56,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.9195087247336913,1.1309850577799132,2,ATP13A2 ATP2B1,-0.0,0.0,0,,-0.0,0.0,0,,Ion transport by P-type ATPases,0,0,0.0,0.0,0.02564102564102564,0.9743589743589743
C229,-0.0,0.0,0,,4.5140038159863485,4.442864169675769,1,PNPLA1,1.6169037973521077,1.6945715401938308,2,CASP3 PDCL,0.605554459472156,0.7312374035778522,3,CASP3 PDCL SNCG,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C229,0,1,0.0,0.05555555555555555,0.0,0.9444444444444444
C230,2.2712151126333637,2.8913328343757154,1,TMEM175,-0.0,0.0,0,,0.47758057150298344,0.999057494623619,1,AP1G1,2.227470642204809,1.466593601636868,5,ADRB2 AP1G1 CLTB TMEM175 VAMP2,-0.0,0.0,0,,-0.0,0.0,0,,4.197026048599283,4.235065124258464,1,TMEM175,0.6633805362416173,1.2742032997332373,1,ADRB2,-0.0,0.0,0,,-0.0,0.0,0,,Golgi Associated Vesicle Biogenesis,0,2,0.0,0.11764705882352941,0.0,0.8823529411764706
C241,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.21334681330438932,0.5482298059928752,1,ADAP1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C241,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C242,3.4339890611417556,3.872695619918904,1,LRRK2,-0.0,0.0,0,,-0.0,0.0,0,,1.05146764253172,1.424361960447225,2,CMTM6 LRRK2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.431455496251593,2.255573531930459,1,LRRK2,-0.0,0.0,0,,5.335916753459695,5.053747996274555,1,LRRK2,C242,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C244,-0.0,0.0,0,,-0.0,0.0,0,,1.1738778847687459,1.9804306693240346,1,PARK7,0.21334681330438932,0.5482298059928752,1,PARK7,-0.0,0.0,0,,-0.0,0.0,0,,5.610387279257282,5.216426546938434,1,PARK7,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C244,0,2,0.0,0.2857142857142857,0.0,0.7142857142857143
C248,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.2967771725814929,0.7306096361471788,1,PLD2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C248,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C252,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C252,0,1,0.0,0.2,0.0,0.8
