,abnormal cranial ganglia morphology:-log(OR_p),abnormal cranial ganglia morphology:log_OR,abnormal cranial ganglia morphology:num_genes,abnormal cranial ganglia morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,abnormal microglial cell physiology:-log(OR_p),abnormal microglial cell physiology:log_OR,abnormal microglial cell physiology:num_genes,abnormal microglial cell physiology:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,decreased neuron apoptosis:-log(OR_p),decreased neuron apoptosis:log_OR,decreased neuron apoptosis:num_genes,decreased neuron apoptosis:gene_ids,abnormal myelination:-log(OR_p),abnormal myelination:log_OR,abnormal myelination:num_genes,abnormal myelination:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C178,8.42245356345069,1.9772227869075634,10,APOE ATP8A2 ATP8B1 B2M CASP3 DNM2 ERBB2 NFKB1 PTK7 SLC12A6,7.612901824689667,2.4279275598972454,6,APOE ATP7B CLU PSEN1 SORL1 TNFRSF1A,6.978765710087765,1.4623370148270745,15,AFF1 APOE ATP7A ATP7B ATP8A2 ATP8B1 CASP3 CCL2 CLCN7 PSEN1 SLC12A6 SLC19A2 SLC24A1 SORL1 VEGFA,6.257636315254274,1.4199266241880633,14,AFF1 APOE ATP2B1 CLCN7 CNTN1 ERBB2 IGF1R IL1B LYST PSEN1 SLC20A2 TNFRSF1A VEGFA VPS13A,6.227374263140748,0.966255984310413,34,ABCB5 AFF1 APBB2 APOE ARHGAP32 ATP2B1 ATP7A ATP7B ATP8A2 ATP8B1 ATP9A B2M BAX CASP3 CCL2 CHN2 CLCN7 CLU CNTN1 DNM2 ERBB2 IGF1R LYST MANBA NUMB PLAUR PSEN1 PTK7 SLC12A6 SLC19A2 SLC24A1 SLC39A8 SORL1 VEGFA,5.918170439533951,1.6149358713581972,10,ATP7A BAX CASP3 CCL2 NUMB PARP1 PSEN1 RELA TNFRSF1A VEGFA,5.8226239416402175,2.273536087638738,5,CCL2 LYN PARP1 TNFAIP3 TNFRSF1A,5.595147837553083,1.047362237998973,24,ABCB5 APOE ATP2B1 ATP7A ATP8A2 ATP8B1 B2M BAX CASP3 CCL2 CLCN7 DNM2 ERBB2 IGF1R NFKB1 NUMB PSEN1 PTK7 RELA SLC12A6 SLC19A2 SLC20A2 SLC24A1 VEGFA,5.348900661389074,2.1592152513692353,5,BAX CASP3 CCL2 PARP1 TNFRSF1A,5.310760636063223,1.6924337914921797,8,ATP8A2 CCL2 DNM2 ERBB2 IGF1R IL1B SLC12A6 TNFRSF1A,CD_1E_mineral_abs-AD systems map,3,10,0.01764705882352941,0.058823529411764705,0.0,0.9235294117647059
C193,2.1443800606984973,2.911621473341503,1,DNM2,3.4339890611417556,3.872695619918904,1,PSEN1,1.1738778847687459,1.9804306693240346,1,PSEN1,1.2047662723248636,2.014848686004502,1,PSEN1,1.05146764253172,1.424361960447225,2,DNM2 PSEN1,1.7509398551539537,2.5655417266864298,1,PSEN1,-0.0,0.0,0,,1.6651433928062092,1.9231872713250375,2,DNM2 PSEN1,-0.0,0.0,0,,2.1025888165932405,2.8764123431940316,1,DNM2,C193,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C198,-0.0,0.0,0,,7.919318460401443,4.986918767478939,2,CLU TNFRSF1A,-0.0,0.0,0,,1.3457990234514219,2.1972245773362182,1,TNFRSF1A,0.2967771725814929,0.7306096361471788,1,CLU,1.9108792412430842,2.747917117832097,1,TNFRSF1A,3.7007279090683727,4.102483394897547,1,TNFRSF1A,-0.0,0.0,0,,3.5393952251435,3.9951379121386523,1,TNFRSF1A,2.2722137138675738,3.0587875523741888,1,TNFRSF1A,C198,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C203,2.5118564246478794,3.317193848813674,1,APOE,3.8451277768683387,4.2782674003830286,1,APOE,1.481445544225232,2.3860045262768494,1,APOE,1.514819564272789,2.42042246023611,1,APOE,0.40481136954526753,0.953811457426152,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,0.7118845562773235,1.4522779014161333,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,C203,0,1,0.0,0.2,0.0,0.8
C206,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.514819564272789,2.42042246023611,1,VPS13A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C206,0,1,0.0,0.2,0.0,0.8
C179,4.669221813237044,1.9891512088671774,5,ATP8A2 ATP8B1 DNM2 PTK7 SLC12A6,4.242919290726008,2.4209707198105734,3,ATP7B PSEN1 SORL1,6.992985758657561,1.8160199551593097,10,AFF1 ATP7A ATP7B ATP8A2 ATP8B1 CLCN7 PSEN1 SLC12A6 SLC24A1 SORL1,2.552117533577535,1.2761237895022948,6,AFF1 ATP2B1 CLCN7 LYST PSEN1 VPS13A,5.602348201977656,1.216879246353777,20,AFF1 APBB2 ARHGAP32 ATP2B1 ATP7A ATP7B ATP8A2 ATP8B1 ATP9A CHN2 CLCN7 DNM2 LYST MANBA NUMB PSEN1 PTK7 SLC12A6 SLC24A1 SORL1,1.185209934079033,1.0909667445067424,3,ATP7A NUMB PSEN1,-0.0,0.0,0,,2.581153109486232,0.9796731083854056,11,ATP2B1 ATP7A ATP8A2 ATP8B1 CLCN7 DNM2 NUMB PSEN1 PTK7 SLC12A6 SLC24A1,-0.0,0.0,0,,1.7481740775669958,1.4049062083144896,3,ATP8A2 DNM2 SLC12A6,Ion transport by P-type ATPases,2,5,0.024390243902439025,0.06097560975609756,0.0,0.9146341463414634
C181,5.7579734275875065,2.550681497580751,4,APOE B2M CASP3 NFKB1,6.762400193418938,3.2091995305376697,3,APOE CLU TNFRSF1A,2.618331087390313,1.6086757172752506,4,APOE CASP3 CCL2 VEGFA,4.0908213428638485,1.8979910650803342,5,APOE CNTN1 IL1B TNFRSF1A VEGFA,2.556206713262188,1.139468325162122,9,APOE B2M BAX CASP3 CCL2 CLU CNTN1 PLAUR VEGFA,10.901247131447835,2.8616080328159565,7,BAX CASP3 CCL2 PARP1 RELA TNFRSF1A VEGFA,10.400329905374061,3.5908634376564468,4,CCL2 PARP1 TNFAIP3 TNFRSF1A,3.7408306347942153,1.4892599805738502,8,APOE B2M BAX CASP3 CCL2 NFKB1 RELA VEGFA,13.428124698180175,3.745824169908409,5,BAX CASP3 CCL2 PARP1 TNFRSF1A,3.531586804954307,2.193148630472666,3,CCL2 IL1B TNFRSF1A,Legionellosis,0,3,0.0,0.07692307692307693,0.0,0.9230769230769231
C184,-0.0,0.0,0,,2.070207170597502,2.719322462165711,1,ATP7B,0.3760101727466938,0.8270440034827065,1,ATP7B,0.396138107194449,0.8614625582897393,1,IGF1R,0.4767287466371497,0.6059576425479136,3,ABCB5 ATP7B IGF1R,-0.0,0.0,0,,-0.0,0.0,0,,0.40911121339021517,0.6415217528318795,2,ABCB5 IGF1R,-0.0,0.0,0,,1.0270168911587378,1.723035090157806,1,IGF1R,ATPase-coupled transmembrane transporter activity,1,0,0.05,0.0,0.0,0.95
C185,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.1710826909548468,-0.4331823674667188,1,SLC39A8,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,transition metal ion transport,1,1,0.058823529411764705,0.058823529411764705,0.0,0.8823529411764706
C187,-0.0,0.0,0,,2.7211114864436494,3.2662930856649774,1,CLU,0.7239467058261324,1.3740229418907237,1,SLC19A2,0.749579251412042,1.4084411654529223,1,SLC20A2,0.461386706231409,0.7309233791217462,2,CLU SLC19A2,-0.0,0.0,0,,-0.0,0.0,0,,0.9481567523424573,1.2297587414117466,2,SLC19A2 SLC20A2,-0.0,0.0,0,,-0.0,0.0,0,,C187,0,1,0.0,0.08333333333333333,0.0,0.9166666666666666
