,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal excitatory postsynaptic currents:-log(OR_p),abnormal excitatory postsynaptic currents:log_OR,abnormal excitatory postsynaptic currents:num_genes,abnormal excitatory postsynaptic currents:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal hippocampus neuron morphology:-log(OR_p),abnormal hippocampus neuron morphology:log_OR,abnormal hippocampus neuron morphology:num_genes,abnormal hippocampus neuron morphology:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal nervous system electrophysiology:-log(OR_p),abnormal nervous system electrophysiology:log_OR,abnormal nervous system electrophysiology:num_genes,abnormal nervous system electrophysiology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C264,13.416234166877283,2.1936988731829885,14,DNM1 GRIA1 MAPT NBEA SCAMP5 SH3GL2 SLC9A9 SNAP25 SNAP91 SNCA SYT1 TSPAN7 UNC13A VAMP2,8.824079732153272,0.9580286321928053,51,ASTN1 ATG7 ATL1 ATP1B2 ATRN ATXN7 CEND1 CHCHD10 CHN1 DGKB DNM1 DNM2 FIG4 GABBR2 GPR158 GRIA1 GRIA2 HTRA2 KCNB1 KCND2 KCNJ6 KIF1A KLC1 LYST MAPT MFN2 NBEA NEFM PEX10 PIK3R4 PTPRS RETREG1 SEZ6 SH3GL2 SLC1A2 SLC44A2 SLC6A8 SNAP91 SNCA SOD1 SPG11 SQSTM1 STUB1 STXBP1 SYN1 TSPAN7 TUBB2B UNC13A VAMP2 WDR45 ZFYVE26,8.47928067802833,3.013578231389948,5,DNM1 SH3GL2 SNAP91 SYN1 UNC13A,8.300268546261217,1.0554777062889968,37,ATXN7 CCSAP DGKB DNM1 GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA2 KCND2 KCNJ6 KIF13A LYST MAPT NBEA NELL2 NRGN PEX10 RAB3A RAB6B SCAMP5 SEZ6 SH3GL2 SLC1A2 SLC9A9 SNAP25 SNAP91 SNCA STXBP1 SYN1 SYP SYT1 TSPAN7 UNC13A VAMP2 WBP1L,8.050102685576386,1.8428160492104286,11,GABBR2 GPR158 GRIA2 GRIK5 NBEA SCAMP5 SEZ6 SH3GL2 SNAP91 SYT1 UNC13A,7.772563480538888,1.0297942111337317,36,ATXN7 CCSAP DGKB DNM1 GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA2 KCND2 KCNJ6 KIF13A LYST MAPT NBEA NELL2 NRGN PEX10 RAB3A RAB6B SCAMP5 SEZ6 SH3GL2 SLC9A9 SNAP25 SNAP91 SNCA STXBP1 SYN1 SYP SYT1 TSPAN7 UNC13A VAMP2 WBP1L,7.750216426712297,1.8934771250026428,10,DGKB GRIA2 KCNJ6 LYST MAPT PIK3R4 SLC1A2 SPG11 SYN1 TSPAN7,7.628679576314454,3.2793437962413563,4,RAB3A SH3GL2 SYN1 SYT1,7.131475916418114,1.0193025107004594,33,ATXN7 CCSAP DGKB DNM1 GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA2 KCNJ6 KIF13A LYST MAPT NBEA NELL2 NRGN RAB3A RAB6B SCAMP5 SEZ6 SH3GL2 SLC9A9 SNAP25 SNAP91 SNCA SYN1 SYP SYT1 TSPAN7 UNC13A VAMP2 WBP1L,6.808862294455689,1.3479895699726345,17,CHN1 DNM1 DNM2 FIG4 GABBR2 GRIA2 HTRA2 KCNA2 KCNJ6 KCNQ3 NEFM PRRC2A SCAMP5 SLC1A2 SLC9A9 SNAP91 TSPAN7,CD_4_notcateg-FTLD systems map,7,3,0.027131782945736434,0.011627906976744186,0.003875968992248062,0.9573643410852714
C265,0.5068072480706838,0.7265841129827386,2,SLC9A9 TSPAN7,0.7912991055629652,0.36390325253790046,17,ATG7 ATRN ATXN7 FIG4 HTRA2 LYST PIK3R4 PTPRS RETREG1 SEZ6 SLC44A2 SLC6A8 SPG11 SQSTM1 TSPAN7 WDR45 ZFYVE26,-0.0,0.0,0,,0.12682345737188813,-0.12564354650221965,7,ATXN7 KIF13A LYST SEZ6 SLC9A9 TSPAN7 WBP1L,0.01698391135263613,-0.04843051662014908,1,SEZ6,0.11886366176084237,-0.11857030089520038,7,ATXN7 KIF13A LYST SEZ6 SLC9A9 TSPAN7 WBP1L,2.5271315625403927,1.5318266100735123,4,LYST PIK3R4 SPG11 TSPAN7,-0.0,0.0,0,,0.025485315566120215,-0.027824398074532297,7,ATXN7 KIF13A LYST SEZ6 SLC9A9 TSPAN7 WBP1L,0.41159643230838494,0.44077268900000455,4,FIG4 HTRA2 SLC9A9 TSPAN7,autophagosome,4,1,0.02857142857142857,0.007142857142857143,0.007142857142857143,0.9571428571428572
C266,25.543435580002264,3.3409364503160788,13,DNM1 GRIA1 MAPT NBEA SCAMP5 SH3GL2 SNAP25 SNAP91 SNCA SYT1 TSPAN7 UNC13A VAMP2,14.686366400953508,1.8005068411685228,31,ASTN1 ATL1 ATP1B2 CEND1 CHN1 DGKB DNM1 DNM2 GABBR2 GPR158 GRIA1 GRIA2 KCNB1 KCND2 KCNJ6 KIF1A KLC1 MAPT MFN2 NBEA NEFM SH3GL2 SLC1A2 SNAP91 SNCA STXBP1 SYN1 TSPAN7 TUBB2B UNC13A VAMP2,15.123134943798018,4.174227000642951,5,DNM1 SH3GL2 SNAP91 SYN1 UNC13A,21.81347899705835,2.239180304766629,30,CCSAP DGKB DNM1 GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA2 KCND2 KCNJ6 MAPT NBEA NELL2 NRGN RAB3A RAB6B SCAMP5 SH3GL2 SLC1A2 SNAP25 SNAP91 SNCA STXBP1 SYN1 SYP SYT1 TSPAN7 UNC13A VAMP2,16.551092835737585,2.9410315466005725,10,GABBR2 GPR158 GRIA2 GRIK5 NBEA SCAMP5 SH3GL2 SNAP91 SYT1 UNC13A,20.654226343426593,2.1934470282481158,29,CCSAP DGKB DNM1 GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA2 KCND2 KCNJ6 MAPT NBEA NELL2 NRGN RAB3A RAB6B SCAMP5 SH3GL2 SNAP25 SNAP91 SNCA STXBP1 SYN1 SYP SYT1 TSPAN7 UNC13A VAMP2,10.385898173635848,2.676260744833529,7,DGKB GRIA2 KCNJ6 MAPT SLC1A2 SYN1 TSPAN7,13.047943567155341,4.431511336069042,4,RAB3A SH3GL2 SYN1 SYT1,19.650944743890385,2.177307368175579,27,CCSAP DGKB DNM1 GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA2 KCNJ6 MAPT NBEA NELL2 NRGN RAB3A RAB6B SCAMP5 SH3GL2 SNAP25 SNAP91 SNCA SYN1 SYP SYT1 TSPAN7 UNC13A VAMP2,13.064148986832144,2.2851802297882458,13,CHN1 DNM1 DNM2 GABBR2 GRIA2 KCNA2 KCNJ6 KCNQ3 NEFM SCAMP5 SLC1A2 SNAP91 TSPAN7,synaptic vesicle endocytosis,2,1,0.023529411764705882,0.011764705882352941,0.0,0.9647058823529412
C299,-0.0,0.0,0,,0.40481136954526753,0.953811457426152,1,KIF1A,-0.0,0.0,0,,0.6994559669020254,1.434105109820699,1,KIF13A,-0.0,0.0,0,,0.70425422742106,1.441137484415151,1,KIF13A,-0.0,0.0,0,,-0.0,0.0,0,,0.7670619460109529,1.5313363247489082,1,KIF13A,-0.0,0.0,0,,C299,1,0,0.2,0.0,0.0,0.8
C269,-0.0,0.0,0,,0.14311925124092598,0.21982855338683827,3,CHCHD10 PEX10 STUB1,-0.0,0.0,0,,0.19392598340153408,-0.4767334984826217,1,PEX10,-0.0,0.0,0,,0.1905821361014061,-0.46970061282063114,1,PEX10,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C269,1,1,0.03571428571428571,0.03571428571428571,0.0,0.9285714285714286
C268,-0.0,0.0,0,,0.7662073444026529,0.6067845728777357,6,FIG4 LYST PIK3R4 PTPRS SPG11 ZFYVE26,-0.0,0.0,0,,0.06382884999277326,-0.12501045498154006,2,LYST WBP1L,-0.0,0.0,0,,0.06000847080693879,-0.11797102324975484,2,LYST WBP1L,4.548673123681964,2.542761946445829,3,LYST PIK3R4 SPG11,-0.0,0.0,0,,0.013408120481374306,-0.027678064839781413,2,LYST WBP1L,0.11509323157314229,0.3002402500507628,1,FIG4,C268,3,1,0.075,0.025,0.0,0.9
C270,-0.0,0.0,0,,0.6154507355178795,0.636124878020361,4,ATG7 RETREG1 SQSTM1 WDR45,-0.0,0.0,0,,0.1578449448465126,-0.399659685990299,1,WBP1L,-0.0,0.0,0,,0.15467009039870733,-0.3926268448215726,1,WBP1L,-0.0,0.0,0,,-0.0,0.0,0,,0.11524465720575941,-0.30242230217241506,1,WBP1L,-0.0,0.0,0,,autophagosome,0,0,0.0,0.0,0.038461538461538464,0.9615384615384616
C277,1.9364847732962431,2.657319223474466,1,TSPAN7,1.3500109099474829,1.3602541192010555,3,SEZ6 SQSTM1 TSPAN7,-0.0,0.0,0,,1.0347311469748743,1.3169860819659185,2,SEZ6 TSPAN7,1.8593636685381123,2.5903921576339775,1,SEZ6,1.0429275934680253,1.3240248687267524,2,SEZ6 TSPAN7,2.0305545511022047,2.737261247037167,1,TSPAN7,-0.0,0.0,0,,1.150748537560286,1.4143099445374414,2,SEZ6 TSPAN7,0.9455782256508642,1.6627890879310954,1,TSPAN7,C277,0,0,0.0,0.0,0.09090909090909091,0.9090909090909091
C280,-0.0,0.0,0,,0.14719934384732594,0.3940208494092836,1,ATXN7,-0.0,0.0,0,,0.3833708026208885,0.8743203601547069,1,ATXN7,-0.0,0.0,0,,0.3873203840497885,0.881352801335062,1,ATXN7,-0.0,0.0,0,,-0.0,0.0,0,,0.43927734632898335,0.9715524554617172,1,ATXN7,-0.0,0.0,0,,C280,1,0,0.125,0.0,0.0,0.875
C320,3.0685893782193054,3.861666730050323,1,UNC13A,0.5491384224666892,1.2415517964475047,1,UNC13A,5.827776994010121,5.6516382069165845,1,UNC13A,2.3186053289011106,2.8214577227843582,2,RAB3A UNC13A,2.9799384188084073,3.7947398448134146,1,UNC13A,2.3281246855480875,2.8284963541780765,2,RAB3A UNC13A,-0.0,0.0,0,,6.584247626163114,6.1040489078551285,1,RAB3A,2.451971945972524,2.9187795311386147,2,RAB3A UNC13A,-0.0,0.0,0,,exocytic vesicle membrane,0,1,0.0,0.25,0.0,0.75
C311,-0.0,0.0,0,,1.7148682796136439,2.340827492030492,2,GABBR2 GPR158,-0.0,0.0,0,,2.3186053289011106,2.8214577227843582,2,GABBR2 GPR158,5.980754572484535,4.900574166182915,2,GABBR2 GPR158,2.3281246855480875,2.8284963541780765,2,GABBR2 GPR158,-0.0,0.0,0,,-0.0,0.0,0,,2.451971945972524,2.9187795311386147,2,GABBR2 GPR158,1.8818412035166519,2.8671410391810035,1,GABBR2,C311,1,0,0.25,0.0,0.0,0.75
C272,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C272,1,1,0.0625,0.0625,0.0,0.875
C287,-0.0,0.0,0,,0.21334681330438932,0.5482298059928752,1,PTPRS,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C287,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C300,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C300,0,1,0.0,0.2,0.0,0.8
C271,-0.0,0.0,0,,1.9253690206642615,1.3123263241297707,5,FIG4 LYST PIK3R4 SPG11 ZFYVE26,-0.0,0.0,0,,0.4400280189721688,0.6805465602236396,2,LYST WBP1L,-0.0,0.0,0,,0.4459772353853888,0.6875855246969635,2,LYST WBP1L,6.982275122814321,3.3822158457495934,3,LYST PIK3R4 SPG11,-0.0,0.0,0,,0.5249865965148368,0.777872772451488,2,LYST WBP1L,0.5283147303339571,1.0745689361622581,1,FIG4,C271,2,0,0.10526315789473684,0.0,0.0,0.8947368421052632
C273,-0.0,0.0,0,,0.08190260622983707,-0.22536809087273468,1,CHCHD10,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C273,1,1,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428572
C293,-0.0,0.0,0,,0.40481136954526753,0.953811457426152,1,SQSTM1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C293,0,0,0.0,0.0,0.2,0.8
C274,-0.0,0.0,0,,2.775360489585623,1.754450545121708,5,FIG4 LYST PIK3R4 SPG11 ZFYVE26,-0.0,0.0,0,,0.09365064216801097,0.2549431426190196,1,LYST,-0.0,0.0,0,,0.09648272230877714,0.26197571703870004,1,LYST,7.951457859739223,3.7571768966804644,3,LYST PIK3R4 SPG11,-0.0,0.0,0,,0.1340298497916584,0.3521769995741799,1,LYST,0.7500261900089944,1.4002622879085926,1,FIG4,C274,2,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C283,-0.0,0.0,0,,1.9118696759462075,1.8304325787161835,3,FIG4 PIK3R4 ZFYVE26,-0.0,0.0,0,,0.3833708026208885,0.8743203601547069,1,WBP1L,-0.0,0.0,0,,0.3873203840497885,0.881352801335062,1,WBP1L,2.405691060768917,3.0940967089141225,1,PIK3R4,-0.0,0.0,0,,0.43927734632898335,0.9715524554617172,1,WBP1L,1.227758130319753,2.0196265410113243,1,FIG4,C283,1,0,0.125,0.0,0.0,0.875
C294,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C294,1,0,0.2,0.0,0.0,0.8
C286,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C286,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C289,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C289,1,0,0.16666666666666666,0.0,0.0,0.8333333333333334
C314,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,CHCHD10,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C314,0,1,0.0,0.25,0.0,0.75
C282,-0.0,0.0,0,,0.8913611097197605,1.2419821302929215,2,LYST SPG11,-0.0,0.0,0,,0.3833708026208885,0.8743203601547069,1,LYST,-0.0,0.0,0,,0.3873203840497885,0.881352801335062,1,LYST,5.815333285723905,3.949746872370161,2,LYST SPG11,-0.0,0.0,0,,0.43927734632898335,0.9715524554617172,1,LYST,-0.0,0.0,0,,C282,1,0,0.125,0.0,0.0,0.875
C312,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,ATXN7,-0.0,0.0,0,,0.8662490683331252,1.7218434965059188,1,ATXN7,-0.0,0.0,0,,0.8713575816508974,1.7288758489100662,1,ATXN7,-0.0,0.0,0,,-0.0,0.0,0,,0.938091065192089,1.819074418040456,1,ATXN7,-0.0,0.0,0,,C312,1,0,0.25,0.0,0.0,0.75
C307,-0.0,0.0,0,,0.5491384224666892,1.2415517964475047,1,SPG11,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.1760948532519633,3.941608553146362,1,SPG11,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C307,1,0,0.25,0.0,0.0,0.75
