,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal excitatory postsynaptic current frequency:-log(OR_p),abnormal excitatory postsynaptic current frequency:log_OR,abnormal excitatory postsynaptic current frequency:num_genes,abnormal excitatory postsynaptic current frequency:gene_ids,abnormal excitatory postsynaptic potential:-log(OR_p),abnormal excitatory postsynaptic potential:log_OR,abnormal excitatory postsynaptic potential:num_genes,abnormal excitatory postsynaptic potential:gene_ids,hippocampal neuron degeneration:-log(OR_p),hippocampal neuron degeneration:log_OR,hippocampal neuron degeneration:num_genes,hippocampal neuron degeneration:gene_ids,abnormal glial cell physiology:-log(OR_p),abnormal glial cell physiology:log_OR,abnormal glial cell physiology:num_genes,abnormal glial cell physiology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C111,8.496224577490796,2.569846184315466,6,CTSD GRN LRRK2 PLP1 PRNP SOD1,5.901124366278611,2.5500026682061296,4,GRN LRRK2 PRNP STUB1,5.767372347954317,1.6144757064640576,10,AP1G1 CTSD DCTN1 GRN PLP1 PRNP PTPN11 SDCCAG8 SOD1 STUB1,4.975957327954707,1.644321635161461,8,CANX CTSD GRN LRRK2 PLP1 PRNP SOD1 WDR45,4.8275242084069285,1.530430002188755,9,CANX CTSD GRN LRRK2 PLP1 PRNP PTPN11 SOD1 WDR45,4.644089198244246,1.048733183546183,21,ADAP1 AP1G1 CANX CDK5 CLSTN1 CMTM6 CTSD DCTN1 GRN KIF2A LRRK2 PLP1 PRNP PTPN11 SDCCAG8 SOD1 SPAST SQSTM1 STUB1 VAMP2 WDR45,4.245383309699535,3.02079922770867,2,CLSTN1 LRRK2,4.15891527706885,2.0699283493102696,4,CDK5 CLSTN1 GRN VAMP2,3.7534710468590213,2.786917003995425,2,CTSD PRNP,3.781734347228033,1.9559550571910886,4,GRN PLP1 PTPN11 RHBDF2,CD_3_NBIA-FTLD systems map,1,4,0.01020408163265306,0.04081632653061224,0.0,0.9489795918367347
C112,-0.0,0.0,0,,-0.0,0.0,0,,1.200183933014822,1.3757913139970288,2,AP1G1 PTPN11,0.427996719488022,0.9109189464068308,1,CANX,1.2459758940302599,1.4102911097235857,2,CANX PTPN11,1.3421541348402468,1.006653120886913,5,AP1G1 CANX KIF2A PTPN11 SPAST,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.2465043248860201,1.9548358992481623,1,PTPN11,C112,0,1,0.0,0.041666666666666664,0.0,0.9583333333333334
C113,1.8463742731352748,2.543581927221714,1,LRRK2,2.3478344730649097,2.9559247215778193,1,LRRK2,0.5176750851797212,1.063650421245276,1,AP1G1,0.7087724663741588,1.33879593196089,1,LRRK2,0.5402229245746455,1.0980688103938636,1,LRRK2,2.3967309288842826,1.5536632723686807,5,AP1G1 CMTM6 KIF2A LRRK2 SPAST,4.04347617844192,4.136978247971623,1,LRRK2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C113,0,1,0.0,0.0625,0.0,0.9375
C114,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.7087724663741588,1.33879593196089,1,WDR45,0.5402229245746455,1.0980688103938636,1,WDR45,0.2202388389209684,0.3942179607342915,2,SQSTM1 WDR45,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,RAB geranylgeranylation,1,1,0.0625,0.0625,0.0,0.875
C116,5.532644445287776,3.652717974256748,2,CTSD GRN,2.7211114864436494,3.2662930856649774,1,GRN,4.209865836342887,2.678154049803352,3,CTSD GRN PTPN11,2.776353197186976,2.4407795098462133,2,CTSD GRN,4.304798236681262,2.7127348158356703,3,CTSD GRN PTPN11,2.1455645010900453,1.6485420686783385,4,ADAP1 CTSD GRN PTPN11,-0.0,0.0,0,,2.1234264339321633,2.8039218857542405,1,GRN,4.146816908211951,4.223936386746848,1,CTSD,8.586662660939005,4.0100112800307635,3,GRN PTPN11 RHBDF2,C116,0,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C120,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.1942799076748072,1.9677832870517253,1,WDR45,0.9836037104396502,1.7270579356196691,1,WDR45,0.7567094561651311,1.08777317370933,2,SQSTM1 WDR45,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,regulation of vacuole organization,1,1,0.1111111111111111,0.1111111111111111,0.0,0.7777777777777778
C124,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.3040604596649203,2.1013687673523824,1,WDR45,1.085604265160204,1.8606436686870795,1,WDR45,0.14719934384732594,0.3940208494092836,1,WDR45,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,regulation of vacuole organization,1,0,0.125,0.0,0.0,0.875
C121,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C121,0,1,0.0,0.125,0.0,0.875
C117,2.290266322438455,2.9493142935296133,1,LRRK2,2.8363027882605993,3.3616566172979496,1,LRRK2,0.7913636908944606,1.469387512383376,1,AP1G1,1.0144851916279767,1.74453155160802,1,LRRK2,0.817906075060918,1.5038056945602296,1,LRRK2,1.3500109099474829,1.3602541192010555,3,AP1G1 CMTM6 LRRK2,4.642949239739694,4.542709504645485,1,LRRK2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C117,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C146,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.9686837813920908,2.9488829491941093,1,WDR45,1.7184611972172283,2.7081588613218095,1,WDR45,0.5491384224666892,1.2415517964475047,1,WDR45,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C146,1,0,0.25,0.0,0.0,0.75
