,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal myelin sheath morphology:-log(OR_p),abnormal myelin sheath morphology:log_OR,abnormal myelin sheath morphology:num_genes,abnormal myelin sheath morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,decreased myelin sheath thickness:-log(OR_p),decreased myelin sheath thickness:log_OR,decreased myelin sheath thickness:num_genes,decreased myelin sheath thickness:gene_ids,demyelination:-log(OR_p),demyelination:log_OR,demyelination:num_genes,demyelination:gene_ids,abnormal neuronal migration:-log(OR_p),abnormal neuronal migration:log_OR,abnormal neuronal migration:num_genes,abnormal neuronal migration:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal neuron physiology:-log(OR_p),abnormal neuron physiology:log_OR,abnormal neuron physiology:num_genes,abnormal neuron physiology:gene_ids,abnormal nervous system tract morphology:-log(OR_p),abnormal nervous system tract morphology:log_OR,abnormal nervous system tract morphology:num_genes,abnormal nervous system tract morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C144,8.106555164109642,1.2212039150585081,30,ABCA2 ARF4 ATRN B4GAT1 CD81 CDK5 CHN2 CLU CST3 CTSF DAG1 DDHD2 DST DYNLRB1 GPM6B GPNMB KIRREL2 KLC1 LRPAP1 MYCBP2 NPC1 PAX6 PINK1 PLD2 POMGNT2 POMK TUBB4A VEGFB VLDLR WBP2,6.8114137737685665,2.481680684962363,5,ABCA2 DAG1 DST GPM6B TUBB4A,4.993072655821234,2.3128332948766275,4,CLU KLC1 LRPAP1 PINK1,4.552847076223879,1.3982251181382885,10,ATRN B4GAT1 CD81 CTSF DAG1 DST LRPAP1 NPC1 POMGNT2 TUBB4A,4.177789671857909,3.024622206293788,2,DST TUBB4A,4.02799970740842,2.0321746070509246,4,DAG1 DST NPC1 TUBB4A,3.9953020021182177,1.808135831561037,5,B4GAT1 DAG1 POMGNT2 POMK VLDLR,3.800641959105013,1.3978400011234378,8,ATRN B4GAT1 CD81 DAG1 LRPAP1 NPC1 POMGNT2 TUBB4A,3.508799671203307,1.105533308581526,12,B4GAT1 DAG1 DST DYNLRB1 KLC1 PAX6 PINK1 POMGNT2 POMK SNAPIN TUBB4A VLDLR,3.3281215067332686,1.4835000707506225,6,B4GAT1 CD81 MYCBP2 NPC1 PAX6 TUBB4A,CD_1A_lyso-brain_malform systems map,1,5,0.008130081300813009,0.04065040650406504,0.0,0.9512195121951219
C145,1.9219883627075367,0.8846752696733304,10,ARF4 ATRN B4GAT1 DAG1 DDHD2 KLC1 MYCBP2 PINK1 POMGNT2 TUBB4A,2.9129574324874477,2.3633868884896216,2,DAG1 TUBB4A,3.066669787054908,2.4388776822589495,2,KLC1 PINK1,2.99107042968484,1.5523884251233167,5,ATRN B4GAT1 DAG1 POMGNT2 TUBB4A,2.5616884594435616,3.1151699224885103,1,TUBB4A,2.527024282247653,2.165874047452144,2,DAG1 TUBB4A,3.4451706180360873,2.144242432975501,3,B4GAT1 DAG1 POMGNT2,3.829105735909165,1.795757041250205,5,ATRN B4GAT1 DAG1 POMGNT2 TUBB4A,2.4393791389354655,1.2660629089205226,6,B4GAT1 DAG1 KLC1 PINK1 POMGNT2 TUBB4A,2.191496852272939,1.6302653786775547,3,B4GAT1 MYCBP2 TUBB4A,COPI-dependent Golgi-to-ER retrograde traffic,0,3,0.0,0.05660377358490566,0.0,0.9433962264150944
C146,0.3252074914210627,0.5484852382413887,2,GPM6B VLDLR,2.4218935086173605,3.0247574863266014,1,GPM6B,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.651397994710823,2.37953542353579,1,VLDLR,-0.0,0.0,0,,1.3405225436999704,1.5285055815208537,2,SNAPIN VLDLR,-0.0,0.0,0,,C146,0,1,0.0,0.07142857142857142,0.0,0.9285714285714286
C153,1.05146764253172,1.424361960447225,2,CDK5 DYNLRB1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8023406074994268,1.5273128758636911,1,DYNLRB1,-0.0,0.0,0,,C153,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C157,0.21334681330438932,0.5482298059928752,1,DAG1,3.32440697250953,3.79832091708157,1,DAG1,-0.0,0.0,0,,1.2047662723248636,2.014848686004502,1,DAG1,-0.0,0.0,0,,3.04458059900683,3.6033642834523754,1,DAG1,2.4416656094576688,3.153100114333025,1,DAG1,1.431455496251593,2.255573531930459,1,DAG1,0.8023406074994268,1.5273128758636911,1,DAG1,-0.0,0.0,0,,C157,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C172,0.5491384224666892,1.2415517964475047,1,NPC1,-0.0,0.0,0,,-0.0,0.0,0,,1.7184611972172283,2.7081588613218095,1,NPC1,-0.0,0.0,0,,3.674305529070423,4.2966716391374655,1,NPC1,-0.0,0.0,0,,1.9686837813920908,2.9488829491941093,1,NPC1,-0.0,0.0,0,,2.4090462756369426,3.3384619477900035,1,NPC1,C172,1,0,0.25,0.0,0.0,0.75
C170,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C170,0,1,0.0,0.2,0.0,0.8
C171,0.40481136954526753,0.953811457426152,1,DAG1,3.732877140107787,4.203892726000762,1,DAG1,-0.0,0.0,0,,1.514819564272789,2.42042246023611,1,DAG1,-0.0,0.0,0,,3.445481970370522,4.008936177827927,1,DAG1,2.8219520673171763,3.55867228309115,1,DAG1,1.7583484572951773,2.661146800765569,1,DAG1,1.07553880934139,1.932888134327201,1,DAG1,-0.0,0.0,0,,C171,0,1,0.0,0.2,0.0,0.8
C150,1.7022179572180953,1.6480527485618808,3,B4GAT1 DAG1 POMGNT2,2.9974402205456596,3.510532132432484,1,DAG1,-0.0,0.0,0,,4.9635627007037595,3.1183629452728194,3,B4GAT1 DAG1 POMGNT2,-0.0,0.0,0,,2.727461095979743,3.3155754133286823,1,DAG1,8.67383559236272,4.266864208021737,3,B4GAT1 DAG1 POMGNT2,5.6644338600288,3.3603970206912095,3,B4GAT1 DAG1 POMGNT2,3.6870267958182477,2.6289739473811604,3,B4GAT1 DAG1 POMGNT2,1.5758727730219984,2.3573637835980197,1,B4GAT1,UDP-glycosyltransferase activity,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C179,0.5491384224666892,1.2415517964475047,1,VLDLR,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.0482687312485224,3.8464078815699745,1,VLDLR,-0.0,0.0,0,,1.2627430744741865,2.220625277407077,1,VLDLR,-0.0,0.0,0,,C179,0,1,0.0,0.25,0.0,0.75
