,abnormal myelination:-log(OR_p),abnormal myelination:log_OR,abnormal myelination:num_genes,abnormal myelination:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,abnormal brain interneuron morphology:-log(OR_p),abnormal brain interneuron morphology:log_OR,abnormal brain interneuron morphology:num_genes,abnormal brain interneuron morphology:gene_ids,abnormal oligodendrocyte physiology:-log(OR_p),abnormal oligodendrocyte physiology:log_OR,abnormal oligodendrocyte physiology:num_genes,abnormal oligodendrocyte physiology:gene_ids,abnormal oligodendrocyte morphology:-log(OR_p),abnormal oligodendrocyte morphology:log_OR,abnormal oligodendrocyte morphology:num_genes,abnormal oligodendrocyte morphology:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal myelin sheath morphology:-log(OR_p),abnormal myelin sheath morphology:log_OR,abnormal myelin sheath morphology:num_genes,abnormal myelin sheath morphology:gene_ids,decreased myelin sheath thickness:-log(OR_p),decreased myelin sheath thickness:log_OR,decreased myelin sheath thickness:num_genes,decreased myelin sheath thickness:gene_ids,decreased motor neuron number:-log(OR_p),decreased motor neuron number:log_OR,decreased motor neuron number:num_genes,decreased motor neuron number:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C188,7.792788554888882,1.8908611967847397,10,BCAS1 EPB41L3 ERMN FIG4 MOBP MOG MYD88 NKX6-2 OLIG1 OLIG2,5.635435480795092,2.9935513255864175,3,BCAS1 OLIG1 OLIG2,5.109374755120821,2.369383988593838,4,GRIA2 LAMP5 OLIG1 TARDBP,5.047930911528022,2.7701929976390787,3,NFASC OLIG1 OLIG2,4.166565693889551,2.087272435260383,4,ERMN MOG OLIG1 OLIG2,3.7853024906719264,1.2454133518158663,10,CERS6 ERMN FIG4 GRIA2 MOG MT3 OLIG1 OLIG2 SYNE2 TARDBP,3.720167043975616,0.7533644735859202,30,ATP6V1B1 BCAS1 CADPS CARNS1 CHM CLDN11 CNTNAP4 DGKB ENPP2 EPB41L3 FIG4 GPR37 GRIA2 HAPLN2 HLX IMMT LAMP5 MOG MYD88 NFASC NKX6-2 OLIG1 OLIG2 REEP6 SPOCK3 STAU1 STX1A SYNE2 TARDBP THOC2,3.430165453922254,1.8521183121003562,4,BCAS1 CLDN11 FIG4 OLIG1,3.3301015902041895,2.646980404452586,2,BCAS1 OLIG1,3.2150100460048314,1.7798755972360567,4,GRIA2 OLIG1 OLIG2 TARDBP,CD_2_leukodys-ALS systems map,1,3,0.0056179775280898875,0.016853932584269662,0.0,0.9775280898876404
C189,0.4473599650912998,0.6609736776996353,2,FIG4 MYD88,-0.0,0.0,0,,0.7458282656266926,1.3636750743427868,1,TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,0.3577575803749071,0.4552224554627937,3,FIG4 SYNE2 TARDBP,0.15567387709557803,0.12328049926065177,11,ATP6V1B1 CHM FIG4 HLX IMMT MYD88 REEP6 STAU1 SYNE2 TARDBP THOC2,0.41218002353072725,0.8749323429839073,1,FIG4,-0.0,0.0,0,,0.3710306854652006,0.8056711663787688,1,TARDBP,C189,1,2,0.008928571428571428,0.017857142857142856,0.0,0.9732142857142857
C190,13.420243673480439,2.957645492825625,8,BCAS1 EPB41L3 ERMN MOBP MOG NKX6-2 OLIG1 OLIG2,10.290155519441075,4.233146965102559,3,BCAS1 OLIG1 OLIG2,7.072300273464438,3.2908293976248952,3,GRIA2 LAMP5 OLIG1,9.572408193541785,4.009790057696224,3,NFASC OLIG1 OLIG2,9.291234792689012,3.3409531906174106,4,ERMN MOG OLIG1 OLIG2,5.243441764794874,1.9812183180488265,6,ERMN GRIA2 MOG MT3 OLIG1 OLIG2,8.907285162983396,1.7383378010761312,19,BCAS1 CADPS CARNS1 CLDN11 CNTNAP4 DGKB ENPP2 EPB41L3 GPR37 GRIA2 HAPLN2 LAMP5 MOG NFASC NKX6-2 OLIG1 OLIG2 SPOCK3 STX1A,5.353876994647968,2.783450796018938,3,BCAS1 CLDN11 OLIG1,6.376199517607366,3.872855624186027,2,BCAS1 OLIG1,5.124854975482813,2.7122316160077258,3,GRIA2 OLIG1 OLIG2,synaptic vesicle exocytosis,0,1,0.0,0.018518518518518517,0.0,0.9814814814814815
C192,-0.0,0.0,0,,-0.0,0.0,0,,1.9592748497490202,2.6116929616943434,1,TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,1.1319822295400026,1.3082407578170532,2,SYNE2 TARDBP,1.194679044446273,0.837716740146881,6,ATP6V1B1 IMMT STAU1 SYNE2 TARDBP THOC2,-0.0,0.0,0,,-0.0,0.0,0,,1.3516300057422155,2.0536962919279773,1,TARDBP,C192,1,1,0.030303030303030304,0.030303030303030304,0.0,0.9393939393939394
C202,1.9552433169143435,2.7222080081018376,1,FIG4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.3040604596649203,2.1013687673523824,1,FIG4,0.8913611097197605,1.2419821302929215,2,CHM FIG4,3.15172660923958,3.6441168825790955,1,FIG4,-0.0,0.0,0,,-0.0,0.0,0,,C202,0,1,0.0,0.125,0.0,0.875
C193,14.730228894611114,3.4699491546153514,7,BCAS1 ERMN MOBP MOG NKX6-2 OLIG1 OLIG2,12.729172463802561,4.833994002577487,3,BCAS1 OLIG1 OLIG2,5.3455801235939795,3.4269707508872944,2,GRIA2 OLIG1,11.973156909417217,4.6106373565951655,3,NFASC OLIG1 OLIG2,12.081345768378924,3.958367667400937,4,ERMN MOG OLIG1 OLIG2,6.024375979161895,2.41005334482106,5,ERMN GRIA2 MOG OLIG1 OLIG2,7.516939724195863,2.021153336193149,13,BCAS1 CARNS1 CLDN11 CNTNAP4 GPR37 GRIA2 HAPLN2 MOG NFASC NKX6-2 OLIG1 OLIG2 SPOCK3,7.329038524393825,3.384301240725067,3,BCAS1 CLDN11 OLIG1,8.048220565307462,4.458029362368198,2,BCAS1 OLIG1,7.067361765747223,3.3130823893306225,3,GRIA2 OLIG1 OLIG2,oligodendrocyte differentiation,0,1,0.0,0.03225806451612903,0.0,0.967741935483871
C230,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C230,1,0,0.25,0.0,0.0,0.75
C201,-0.0,0.0,0,,-0.0,0.0,0,,3.8871841850036493,4.132851586907375,1,TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,1.3040604596649203,2.1013687673523824,1,TARDBP,1.9118696759462075,1.8304325787161835,3,STAU1 TARDBP THOC2,-0.0,0.0,0,,-0.0,0.0,0,,3.052769015627097,3.5748571950068886,1,TARDBP,C201,0,1,0.0,0.125,0.0,0.875
C229,5.501331452539856,4.674117079406573,2,MOBP MOG,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.302845008716682,4.715518243156956,1,MOG,1.9686837813920908,2.9488829491941093,1,MOG,1.7148682796136439,2.340827492030492,2,CLDN11 MOG,3.9616534765867932,4.491628144588962,1,CLDN11,-0.0,0.0,0,,-0.0,0.0,0,,C229,0,1,0.0,0.25,0.0,0.75
C228,-0.0,0.0,0,,-0.0,0.0,0,,4.7204229702274585,4.98036254196269,1,TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,1.9686837813920908,2.9488829491941093,1,TARDBP,1.7148682796136439,2.340827492030492,2,STAU1 TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,3.8584961642821844,4.422368513957259,1,TARDBP,C228,0,1,0.0,0.25,0.0,0.75
