,decreased susceptibility to dopaminergic neuron neurotoxicity:-log(OR_p),decreased susceptibility to dopaminergic neuron neurotoxicity:log_OR,decreased susceptibility to dopaminergic neuron neurotoxicity:num_genes,decreased susceptibility to dopaminergic neuron neurotoxicity:gene_ids,increased susceptibility to neuronal excitotoxicity:-log(OR_p),increased susceptibility to neuronal excitotoxicity:log_OR,increased susceptibility to neuronal excitotoxicity:num_genes,increased susceptibility to neuronal excitotoxicity:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,motor neuron degeneration:-log(OR_p),motor neuron degeneration:log_OR,motor neuron degeneration:num_genes,motor neuron degeneration:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,decreased neuron number:-log(OR_p),decreased neuron number:log_OR,decreased neuron number:num_genes,decreased neuron number:gene_ids,abnormal neuron physiology:-log(OR_p),abnormal neuron physiology:log_OR,abnormal neuron physiology:num_genes,abnormal neuron physiology:gene_ids,abnormal neuron number:-log(OR_p),abnormal neuron number:log_OR,abnormal neuron number:num_genes,abnormal neuron number:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C166,4.569875532399531,3.2994077709815084,2,SNCA TNFRSF1A,4.480751133938009,2.5402864107720466,3,IL10 PSEN1 TNFRSF1A,3.6191974144184966,1.2784301702849667,9,ADRB2 ATP2B1 CLCN3 FKRP LTN1 PSEN1 SNCA SOD1 TNFRSF1A,3.553781113668915,2.19336605164869,3,ATP7A LTN1 SOD1,3.27938238417171,1.147128742694873,10,ADRB2 ATP2B1 CLCN3 FKRP LTN1 PSEN1 SNCA SOD1 TNFRSF1A VPS13A,3.1298615626755497,1.3238583191210633,7,ATP7A BAX IL10 NUMB PSEN1 SNCA TNFRSF1A,2.9214366924747783,1.070786522614572,10,ADRB2 ARCN1 CLCN3 LEPR NUMB PSEN1 SLC7A14 SNCA SOD1 TNIK,2.877543652978249,0.939109514226832,13,ATP7A BAX BBC3 FKRP IL10 LEPR LTN1 NUMB PSEN1 SLC9A9 SNCA SOD1 TNFRSF1A,2.7727578847625534,0.9923396423611823,11,ADRB2 ARCN1 BAX CLCN3 LEPR NUMB PSEN1 SLC7A14 SNCA SOD1 TNIK,2.5046733023463976,1.762621422232714,3,ARCN1 PSEN1 TNFRSF1A,CD_1E_mineral_abs-ALS systems map,1,7,0.0064516129032258064,0.04516129032258064,0.0,0.9483870967741935
C167,5.959521266711095,3.8446339835231687,2,SNCA TNFRSF1A,6.282514600840796,3.0902584470461063,3,IL10 PSEN1 TNFRSF1A,3.0195920155665816,1.4077604210147676,6,ADRB2 FKRP PSEN1 SNCA SOD1 TNFRSF1A,0.9150747489528913,1.574520073329074,1,SOD1,2.2057549037705737,1.1637148615314405,6,ADRB2 FKRP PSEN1 SNCA SOD1 TNFRSF1A,2.9863443016050715,1.525025205089447,5,BAX IL10 PSEN1 SNCA TNFRSF1A,2.816500140233292,1.2564318935649013,7,ADRB2 ARCN1 LEPR PSEN1 SLC7A14 SNCA SOD1,2.8055299297203646,1.117634247314042,9,BAX BBC3 FKRP IL10 LEPR PSEN1 SNCA SOD1 TNFRSF1A,2.981119669832899,1.222394055829481,8,ADRB2 ARCN1 BAX LEPR PSEN1 SLC7A14 SNCA SOD1,3.9294563596026397,2.3125997139240617,3,ARCN1 PSEN1 TNFRSF1A,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",0,4,0.0,0.04395604395604396,0.0,0.9560439560439561
C169,-0.0,0.0,0,,-0.0,0.0,0,,1.4890470765627872,1.2786813971390423,3,ATP2B1 CLCN3 LTN1,4.075834122672003,2.9013788759264596,2,ATP7A LTN1,2.000180604623715,1.347886649327279,4,ATP2B1 CLCN3 LTN1 VPS13A,0.9620921994513061,1.1605209878507257,2,ATP7A NUMB,0.9693633079146987,0.9615412621031378,3,CLCN3 NUMB TNIK,0.9971343150827395,0.8575350112818114,4,ATP7A LTN1 NUMB SLC9A9,0.7204468767312284,0.7814996518141157,3,CLCN3 NUMB TNIK,-0.0,0.0,0,,C169,1,2,0.0196078431372549,0.0392156862745098,0.0,0.9411764705882353
C175,-0.0,0.0,0,,-0.0,0.0,0,,0.7583822135493572,1.4078429116100715,1,FKRP,-0.0,0.0,0,,0.5849116495654252,1.167116043001755,1,FKRP,-0.0,0.0,0,,-0.0,0.0,0,,0.29090570375896485,0.6795742926839861,1,FKRP,-0.0,0.0,0,,-0.0,0.0,0,,C175,0,1,0.0,0.06666666666666667,0.0,0.9333333333333333
C168,7.418276593381212,4.364899669881081,2,SNCA TNFRSF1A,4.67388450461427,3.159806596573456,2,IL10 TNFRSF1A,2.4123562563342023,1.5086963426325681,4,ADRB2 SNCA SOD1 TNFRSF1A,1.3886943452726832,2.087270419673853,1,SOD1,1.817305040066425,1.2659907652540383,4,ADRB2 SNCA SOD1 TNFRSF1A,3.3019681644192245,1.8220295335308112,4,BAX IL10 SNCA TNFRSF1A,2.6337887788935936,1.4360124476287695,5,ADRB2 LEPR SLC7A14 SNCA SOD1,3.243634493843687,1.4006398948737466,7,BAX BBC3 IL10 LEPR SNCA SOD1 TNFRSF1A,3.103844396636959,1.4597364448569596,6,ADRB2 BAX LEPR SLC7A14 SNCA SOD1,1.0003173271692611,1.6729074863827655,1,TNFRSF1A,"oxidoreductase activity, acting on a sulfur group of donors",0,3,0.0,0.05454545454545454,0.0,0.9454545454545454
C174,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,COPI-mediated anterograde transport,0,1,0.0,0.06666666666666667,0.0,0.9333333333333333
C170,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.12713780789185083,0.32935824751049125,1,SLC7A14,-0.0,0.0,0,,0.05415792381362981,0.15005287324618521,1,SLC7A14,-0.0,0.0,0,,"oxidoreductase activity, acting on a sulfur group of donors",0,2,0.0,0.06451612903225806,0.0,0.935483870967742
C172,10.752928816389167,5.503895785506259,2,SNCA TNFRSF1A,7.63412558759031,4.2988048595080475,2,IL10 TNFRSF1A,3.7806648290642517,2.379026788493988,3,SNCA SOD1 TNFRSF1A,2.6681281012486266,3.187803733479157,1,SOD1,3.149062943281262,2.1369901844483774,3,SNCA SOD1 TNFRSF1A,7.126739941759581,3.0477458758333995,4,BAX IL10 SNCA TNFRSF1A,2.964756300746095,2.0618977055710612,3,LEPR SNCA SOD1,6.598661191108955,2.5531362915962674,6,BAX IL10 LEPR SNCA SOD1 TNFRSF1A,4.127502450420043,2.236056963272455,4,BAX LEPR SNCA SOD1,2.1329196553184078,2.7734430580456966,1,TNFRSF1A,cellular detoxification,0,1,0.0,0.05263157894736842,0.0,0.9473684210526316
C198,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.644166871080029,2.6334137287885175,1,TNIK,-0.0,0.0,0,,1.472499636302254,2.454115111788794,1,TNIK,-0.0,0.0,0,,C198,0,1,0.0,0.25,0.0,0.75
C171,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.396138107194449,0.8614625582897393,1,VPS13A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C171,0,1,0.0,0.05,0.0,0.95
