,abnormal retina neuronal layer morphology:-log(OR_p),abnormal retina neuronal layer morphology:log_OR,abnormal retina neuronal layer morphology:num_genes,abnormal retina neuronal layer morphology:gene_ids,decreased susceptibility to dopaminergic neuron neurotoxicity:-log(OR_p),decreased susceptibility to dopaminergic neuron neurotoxicity:log_OR,decreased susceptibility to dopaminergic neuron neurotoxicity:num_genes,decreased susceptibility to dopaminergic neuron neurotoxicity:gene_ids,decreased miniature inhibitory postsynaptic current amplitude:-log(OR_p),decreased miniature inhibitory postsynaptic current amplitude:log_OR,decreased miniature inhibitory postsynaptic current amplitude:num_genes,decreased miniature inhibitory postsynaptic current amplitude:gene_ids,abnormal microglial cell physiology:-log(OR_p),abnormal microglial cell physiology:log_OR,abnormal microglial cell physiology:num_genes,abnormal microglial cell physiology:gene_ids,increased microglial cell activation:-log(OR_p),increased microglial cell activation:log_OR,increased microglial cell activation:num_genes,increased microglial cell activation:gene_ids,abnormal miniature inhibitory postsynaptic current amplitude:-log(OR_p),abnormal miniature inhibitory postsynaptic current amplitude:log_OR,abnormal miniature inhibitory postsynaptic current amplitude:num_genes,abnormal miniature inhibitory postsynaptic current amplitude:gene_ids,demyelination:-log(OR_p),demyelination:log_OR,demyelination:num_genes,demyelination:gene_ids,decreased susceptibility to neuronal excitotoxicity:-log(OR_p),decreased susceptibility to neuronal excitotoxicity:log_OR,decreased susceptibility to neuronal excitotoxicity:num_genes,decreased susceptibility to neuronal excitotoxicity:gene_ids,abnormal microglial cell activation:-log(OR_p),abnormal microglial cell activation:log_OR,abnormal microglial cell activation:num_genes,abnormal microglial cell activation:gene_ids,abnormal radial glial cell morphology:-log(OR_p),abnormal radial glial cell morphology:log_OR,abnormal radial glial cell morphology:num_genes,abnormal radial glial cell morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C145,2.0238925292558196,0.9542129463366162,8,C3AR1 CLN3 HIBADH HS2ST1 IRF3 PARP1 POMGNT1 TMEM106B,1.9187703891466887,2.642060334875029,1,PARP1,1.5092897908167768,2.236327467641372,1,ARHGAP32,1.464096118068065,1.5317314370480233,2,CLN3 PARP1,1.2829713582051758,1.9997244306444024,1,CLN3,1.1093898771384618,1.8084548890322267,1,ARHGAP32,1.0312501619261423,1.2105528399326744,2,C3AR1 COQ9,0.8840792015888703,1.5423765792663087,1,PARP1,0.8081794910944419,1.4469055803563293,1,CLN3,0.7849612998528405,1.416999005090295,1,POMGNT1,CD_1F_perox-AD systems map,0,6,0.0,0.04477611940298507,0.0,0.9552238805970149
C160,2.840610019715577,2.6056351956741413,2,CLN3 POMGNT1,-0.0,0.0,0,,-0.0,0.0,0,,3.329053349538026,3.765904497298151,1,CLN3,5.22504005172091,4.950890610834847,1,CLN3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.309999201797389,4.398076792686414,1,CLN3,4.261630344178954,4.368170577147018,1,POMGNT1,C160,0,1,0.0,0.125,0.0,0.875
C161,1.1120938122767015,1.9102780694633932,1,PARP1,6.484153169347062,5.747427148333374,1,PARP1,-0.0,0.0,0,,3.504635523971861,3.920108509036572,1,PARP1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.655913832451844,4.647750633523209,1,PARP1,-0.0,0.0,0,,-0.0,0.0,0,,C161,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C146,0.7184397068683557,0.6719331158874304,4,C3AR1 HIBADH HS2ST1 TMEM106B,-0.0,0.0,0,,2.0000135190942165,2.6748434093614843,1,ARHGAP32,-0.0,0.0,0,,-0.0,0.0,0,,1.541973879329039,2.246971907085479,1,ARHGAP32,0.45026296727420834,0.9364956279717696,1,C3AR1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,fatty acid beta-oxidation,0,3,0.0,0.034482758620689655,0.0,0.9655172413793104
C147,0.5270997920178007,0.7580640651346595,2,IRF3 POMGNT1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.0483982366129738,1.7297984847912513,1,COQ9,-0.0,0.0,0,,-0.0,0.0,0,,2.003625675758872,2.648813504560623,1,POMGNT1,C147,0,1,0.0,0.025,0.0,0.975
C151,1.359454805302633,1.5063690985486122,2,C3AR1 CLN3,-0.0,0.0,0,,4.1229408249679445,4.188324777739419,1,ARHGAP32,2.1280482529645735,2.766735462299601,1,CLN3,3.76759902285304,3.951723041148057,1,CLN3,3.483465359166515,3.7604548004972216,1,ARHGAP32,1.7553512029775646,2.4499903846817723,1,C3AR1,-0.0,0.0,0,,2.9623947495268705,3.3989087466583534,1,CLN3,-0.0,0.0,0,,Complex I biogenesis,0,1,0.0,0.05,0.0,0.95
C187,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C187,0,1,0.0,0.25,0.0,0.75
C148,0.6325034717225153,0.869507921740567,2,HS2ST1 TMEM106B,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C148,0,2,0.0,0.05555555555555555,0.0,0.9444444444444444
C149,0.16044126907865286,0.4050562272094709,1,HIBADH,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,fatty acid beta-oxidation,0,1,0.0,0.03571428571428571,0.0,0.9642857142857143
C150,1.1093692953463057,1.3054803719071373,2,IRF3 POMGNT1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.5544603374856973,2.258721392774765,1,COQ9,-0.0,0.0,0,,-0.0,0.0,0,,2.666290632212596,3.1777340861405845,1,POMGNT1,C150,0,1,0.0,0.041666666666666664,0.0,0.9583333333333334
