,abnormal brain interneuron morphology:-log(OR_p),abnormal brain interneuron morphology:log_OR,abnormal brain interneuron morphology:num_genes,abnormal brain interneuron morphology:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal microglial cell physiology:-log(OR_p),abnormal microglial cell physiology:log_OR,abnormal microglial cell physiology:num_genes,abnormal microglial cell physiology:gene_ids,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,hypermyelination:-log(OR_p),hypermyelination:log_OR,hypermyelination:num_genes,hypermyelination:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal synaptic plasticity:-log(OR_p),abnormal synaptic plasticity:log_OR,abnormal synaptic plasticity:num_genes,abnormal synaptic plasticity:gene_ids,abnormal excitatory postsynaptic currents:-log(OR_p),abnormal excitatory postsynaptic currents:log_OR,abnormal excitatory postsynaptic currents:num_genes,abnormal excitatory postsynaptic currents:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C272,9.304769687482604,2.592930214277149,7,BRINP1 DCX GRIA2 LAMP5 TARDBP TBR1 TUBB2B,3.933051687879021,0.7800501724106201,28,B2M CADPS CCSAP CTSA CTSC DCX DGKB DHX58 DPP6 EFNA3 FABP7 GABBR2 GPR158 GRIA2 IFI44 IMMP2L NELL2 NPPC NRGN SLC9A9 SNAP25 ST8SIA4 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,2.5496178076957756,1.5541205763360644,4,MYD88 RHBDF2 TICAM1 TREM2,3.4096052443060896,1.5102591037225572,6,CSF1R CTSD EDIL3 IL34 PLP1 TARDBP,3.315498827738645,2.736467652990404,2,CSF1R EPB41L3,3.3076147732259873,1.370769897660793,7,B2M CADPS NPPC SLC9A9 SNAP25 STX1A SYT1,3.1702455373846603,0.6874335991582718,28,B2M CADPS CCSAP CTSA CTSC DCX DGKB DHX58 DPP6 EFNA3 FABP7 GABBR2 GPR158 GRIA2 IFI44 IMMP2L NELL2 NPPC NRGN SLC9A9 SNAP25 ST8SIA4 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,3.114300149023695,0.6802214571579714,28,B2M CADPS CCSAP CTSA CTSC DCX DGKB DHX58 DPP6 EFNA3 FABP7 GABBR2 GPR158 GRIA2 IFI44 IMMP2L NELL2 NPPC NRGN SLC9A9 SNAP25 ST8SIA4 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,3.065309835988159,1.5537057104387682,5,GABBR2 GRIA2 NRGN STX1A SYP,3.0341394059914224,1.3007552754389131,7,CADPS GABBR2 GPR158 GRIA2 STX1A SYT1 TBR1,CD_2_leukodys-FTLD systems map,6,5,0.022304832713754646,0.01858736059479554,0.0037174721189591076,0.9553903345724907
C291,-0.0,0.0,0,,0.3056488408732935,0.7201259572490564,1,ST8SIA4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.25941027308691217,0.6299257604414255,1,ST8SIA4,0.25590526591717333,0.6228932748579652,1,ST8SIA4,-0.0,0.0,0,,-0.0,0.0,0,,C291,1,2,0.1,0.2,0.0,0.7
C273,13.436196649752144,3.183914078298387,7,BRINP1 DCX GRIA2 LAMP5 TARDBP TBR1 TUBB2B,5.387683410818487,1.0930976722505577,21,CADPS CCSAP DCX DGKB DPP6 FABP7 GABBR2 GPR158 GRIA2 IMMP2L NELL2 NPPC NRGN SNAP25 ST8SIA4 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,-0.0,0.0,0,,1.6519326533070426,1.3529853062970698,3,EDIL3 PLP1 TARDBP,1.7659324025363197,2.507511075931677,1,EPB41L3,3.241638136712044,1.59572439133124,5,CADPS NPPC SNAP25 STX1A SYT1,4.616353628830466,1.0011335775979209,21,CADPS CCSAP DCX DGKB DPP6 FABP7 GABBR2 GPR158 GRIA2 IMMP2L NELL2 NPPC NRGN SNAP25 ST8SIA4 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,4.55877974610312,0.9939700036969619,21,CADPS CCSAP DCX DGKB DPP6 FABP7 GABBR2 GPR158 GRIA2 IMMP2L NELL2 NPPC NRGN SNAP25 ST8SIA4 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,5.283621922226944,2.1387009902458782,5,GABBR2 GRIA2 NRGN STX1A SYP,5.736833422212288,1.8917719331933762,7,CADPS GABBR2 GPR158 GRIA2 STX1A SYT1 TBR1,C273,3,4,0.0196078431372549,0.026143790849673203,0.0,0.9542483660130718
C275,-0.0,0.0,0,,0.24842387710932393,0.24401614914749636,6,B2M CTSA CTSC DHX58 IFI44 ST8SIA4,4.002509462910003,2.338970594148341,3,MYD88 RHBDF2 TICAM1,0.3254591171806125,0.7257187295700955,1,CTSD,-0.0,0.0,0,,0.17562692915673767,0.4337158825602838,1,B2M,0.14441519757831622,0.15336860162669197,6,B2M CTSA CTSC DHX58 IFI44 ST8SIA4,0.13690701312683345,0.1463027505174459,6,B2M CTSA CTSC DHX58 IFI44 ST8SIA4,-0.0,0.0,0,,-0.0,0.0,0,,Interferon alpha/beta signaling,3,1,0.03225806451612903,0.010752688172043012,0.0,0.956989247311828
C280,-0.0,0.0,0,,0.2541164935795376,0.43263976645864055,2,EFNA3 SLC9A9,1.8148238240595165,2.4919783603901404,1,TREM2,3.7298574759785867,2.776500733873892,2,CSF1R IL34,4.281863340804985,4.319299804765578,1,CSF1R,1.0501175772233426,1.740225085113778,1,SLC9A9,0.19238071614022037,0.3423506166505792,2,EFNA3 SLC9A9,0.18776770431846937,0.33531149654734804,2,EFNA3 SLC9A9,-0.0,0.0,0,,-0.0,0.0,0,,C280,0,0,0.0,0.0,0.038461538461538464,0.9615384615384616
C274,2.634450266325423,2.2263380825915746,2,TARDBP TUBB2B,0.44699050199297985,-0.5406703060759597,3,IMMP2L NPPC ST8SIA4,-0.0,0.0,0,,0.29619970259799366,0.6725278933572092,1,TARDBP,-0.0,0.0,0,,0.15115525865624307,0.38052456992568295,1,NPPC,0.5488972018352798,-0.6310638811389317,3,IMMP2L NPPC ST8SIA4,0.5571906616919435,-0.6381108998935598,3,IMMP2L NPPC ST8SIA4,-0.0,0.0,0,,-0.0,0.0,0,,C274,2,3,0.02040816326530612,0.030612244897959183,0.0,0.9489795918367347
C276,14.861585687027551,3.977148960830027,5,BRINP1 DCX GRIA2 LAMP5 TBR1,14.743935899058526,2.358470281014082,18,CADPS CCSAP DCX DGKB DPP6 FABP7 GABBR2 GPR158 GRIA2 NELL2 NRGN SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,-0.0,0.0,0,,2.368512327877385,2.082069100367752,2,EDIL3 PLP1,3.24101275183572,3.645076831455544,1,EPB41L3,5.8022437193403205,2.5387950793322807,4,CADPS SNAP25 STX1A SYT1,13.69281530816253,2.26679755132421,18,CADPS CCSAP DCX DGKB DPP6 FABP7 GABBR2 GPR158 GRIA2 NELL2 NRGN SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,13.612510887770833,2.25965578237985,18,CADPS CCSAP DCX DGKB DPP6 FABP7 GABBR2 GPR158 GRIA2 NELL2 NRGN SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,11.185127351377552,3.334775205678305,5,GABBR2 GRIA2 NRGN STX1A SYP,13.151815308318202,3.119720706347527,7,CADPS GABBR2 GPR158 GRIA2 STX1A SYT1 TBR1,calcium-ion regulated exocytosis,1,1,0.02,0.02,0.0,0.96
C278,4.617134518307605,3.1301713737454424,2,TARDBP TUBB2B,0.026407146615411194,-0.0537096821403118,2,IMMP2L NPPC,-0.0,0.0,0,,0.9034968135216374,1.561415310756054,1,TARDBP,-0.0,0.0,0,,0.6744751479784463,1.2694174034005066,1,NPPC,0.0743230981267876,-0.1440029128228879,2,IMMP2L NPPC,0.07824834782568552,-0.1510423668326908,2,IMMP2L NPPC,-0.0,0.0,0,,-0.0,0.0,0,,protein folding chaperone,2,2,0.04878048780487805,0.04878048780487805,0.0,0.9024390243902439
C316,-0.0,0.0,0,,0.938091065192089,1.819074418040456,1,ST8SIA4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8713575816508974,1.7288758489100662,1,ST8SIA4,0.8662490683331252,1.7218434965059188,1,ST8SIA4,-0.0,0.0,0,,-0.0,0.0,0,,C316,0,1,0.0,0.25,0.0,0.75
C285,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C285,1,0,0.06666666666666667,0.0,0.0,0.9333333333333333
C322,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C322,1,0,0.25,0.0,0.0,0.75
C294,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C294,1,0,0.125,0.0,0.0,0.875
C277,-0.0,0.0,0,,0.14447389238445116,-0.26185436682487406,2,DHX58 IFI44,3.293201597489697,2.5478322759641614,2,MYD88 TICAM1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.20348316988155,-0.3521500493404428,2,DHX58 IFI44,0.2082902708381888,-0.3591897039655869,2,DHX58 IFI44,-0.0,0.0,0,,-0.0,0.0,0,,Interferon alpha/beta signaling,0,1,0.0,0.02,0.0,0.98
C281,19.567119208895466,4.894880115477174,5,BRINP1 DCX GRIA2 LAMP5 TBR1,5.4035670858269125,2.096516644158246,7,CADPS DCX DPP6 FABP7 GRIA2 TBR1 TMEM35A,-0.0,0.0,0,,4.009569692310134,2.9101925671758178,2,EDIL3 PLP1,4.4881992960608015,4.447292873914937,1,EPB41L3,1.1631261518574987,1.868219189566224,1,CADPS,4.99632541779168,2.0058027270290513,7,CADPS DCX DPP6 FABP7 GRIA2 TBR1 TMEM35A,4.965261826952771,1.9987320985984738,7,CADPS DCX DPP6 FABP7 GRIA2 TBR1 TMEM35A,1.6948213333465243,2.3895430497534216,1,GRIA2,5.8331477026544984,3.009710212354163,3,CADPS GRIA2 TBR1,C281,1,1,0.043478260869565216,0.043478260869565216,0.0,0.9130434782608696
C321,4.7204229702274585,4.98036254196269,1,TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,3.4696383357359686,4.15366113937852,1,TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C321,0,1,0.0,0.25,0.0,0.75
C324,-0.0,0.0,0,,0.938091065192089,1.819074418040456,1,IMMP2L,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8713575816508974,1.7288758489100662,1,IMMP2L,0.8662490683331252,1.7218434965059188,1,IMMP2L,-0.0,0.0,0,,-0.0,0.0,0,,C324,0,1,0.0,0.25,0.0,0.75
C300,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C300,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C303,-0.0,0.0,0,,0.633338267802068,1.3081367494564216,1,IMMP2L,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5744391976634452,1.2179376378888342,1,IMMP2L,0.569947640691463,1.2109052411015817,1,IMMP2L,-0.0,0.0,0,,-0.0,0.0,0,,C303,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C319,4.7204229702274585,4.98036254196269,1,TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,3.4696383357359686,4.15366113937852,1,TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C319,0,1,0.0,0.25,0.0,0.75
C287,-0.0,0.0,0,,0.2533641618024813,0.6147094019151229,1,EFNA3,-0.0,0.0,0,,5.728548581109003,3.758131932984357,2,CSF1R IL34,5.756318851966822,5.23638876992587,1,CSF1R,-0.0,0.0,0,,0.20959792733088672,0.5245089337212754,1,EFNA3,0.20628467776891005,0.5174764259325144,1,EFNA3,-0.0,0.0,0,,-0.0,0.0,0,,C287,0,0,0.0,0.0,0.09090909090909091,0.9090909090909091
C288,17.285774298071836,5.591466609606891,4,BRINP1 DCX GRIA2 TBR1,5.202865966809075,2.7393507703481212,5,DCX DPP6 FABP7 GRIA2 TBR1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.902427732577099,2.6488108551539575,5,DCX DPP6 FABP7 GRIA2 TBR1,4.87938936500673,2.641753159481926,5,DCX DPP6 FABP7 GRIA2 TBR1,2.5874316507325235,3.1786412646122546,1,GRIA2,4.80443013643752,3.3961219066288013,2,GRIA2 TBR1,C288,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C286,3.3110023947446345,3.6806533230771894,1,LAMP5,1.0392162023142286,1.308893389203508,2,CADPS TMEM35A,-0.0,0.0,0,,5.532644445287776,3.652717974256748,2,EDIL3 PLP1,5.607889871091233,5.141025394387831,1,EPB41L3,1.8382188704904785,2.561955503314085,1,CADPS,0.9356363866518326,1.218608042006604,2,CADPS TMEM35A,0.9277723565982501,1.211569233040466,2,CADPS TMEM35A,-0.0,0.0,0,,1.762777138610174,2.495028411662032,1,CADPS,C286,1,0,0.08333333333333333,0.0,0.0,0.9166666666666666
C296,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C296,1,0,0.125,0.0,0.0,0.875
