,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C241,21.714707645237347,4.150945682467901,10,AMPH DNAJC6 DNM1 DNM3 PACSIN1 SH3GL2 SNAP91 STON2 SYN1 UNC13A,16.388697656603277,2.3760435035789715,15,ANK2 ATP6V0A1 DNM1 DNM3 LGI1 MAPT PACSIN1 SH3GL2 SNAP25 SNAP91 SNCA SYT1 SYT2 UNC13A VAMP2,14.852912597513338,2.8221344587912114,10,ATP6V0A1 DNAJC6 DNM1 DNM3 EPS15L1 PACSIN1 SH3GL2 SNAP91 STON2 UNC13A,13.958592886941538,2.8910190769391573,9,DNAJC6 DNM1 DNM3 EPS15L1 PACSIN1 SH3GL2 SNAP91 STON2 UNC13A,10.690655758933259,3.698345380102819,5,RAB3A SH3GL2 SYN1 SYNJ1 SYT1,10.682339577810565,1.2067293415951585,38,AAK1 ANK2 ATP6V0A1 CCSAP DGKB DNAJC5 DNM1 DNM3 FAM53B FCMR GDPD5 LGI1 MAPT MEF2D NRGN NTRK2 PACSIN1 PAH PANX1 PPARG RAB3A SH3GL2 SLC18A3 SLC1A3 SLC25A12 SNAP25 SNAP91 SNCA STON2 STXBP1 SYN1 SYNJ1 SYP SYT1 SYT2 TMEM51 UNC13A VAMP2,10.564620712280536,1.1994512445053385,38,AAK1 ANK2 ATP6V0A1 CCSAP DGKB DNAJC5 DNM1 DNM3 FAM53B FCMR GDPD5 LGI1 MAPT MEF2D NRGN NTRK2 PACSIN1 PAH PANX1 PPARG RAB3A SH3GL2 SLC18A3 SLC1A3 SLC25A12 SNAP25 SNAP91 SNCA STON2 STXBP1 SYN1 SYNJ1 SYP SYT1 SYT2 TMEM51 UNC13A VAMP2,9.527500911363775,1.024986048698647,49,ANK2 ASAH1 ATL1 ATP6V0A1 CD81 CLEC16A DGKB DNAJC5 DNAJC6 DNM1 DNM2 DNM3 ELAVL4 EPS15L1 GDPD5 HGS HSPD1 KLC1 MAP1B MAPT MBNL1 MEF2D MEGF8 NEFM NTRK1 NTRK2 PACSIN1 PANX1 PLD2 PNPLA6 SH3GL2 SIRT2 SLC1A3 SLC25A12 SLC6A15 SNAP91 SNCA SPI1 SQSTM1 STAM STON2 STUB1 STXBP1 SYN1 SYNJ2 UNC13A VAMP2 VAMP7 VEGFB,8.257415706863553,3.470863427190012,4,ACER1 ASAH1 SGMS1 SGMS2,7.141676091834919,1.0538117437136858,31,AAK1 ANK2 ATP6V0A1 CCSAP DGKB DNM1 DNM3 FAM53B FCMR GDPD5 LGI1 MAPT MEF2D NRGN NTRK2 PACSIN1 PPARG RAB3A SH3GL2 SLC1A3 SNAP25 SNAP91 SNCA SYN1 SYNJ1 SYP SYT1 SYT2 TMEM51 UNC13A VAMP2,CD_4_notcateg-DLB systems map,6,1,0.02553191489361702,0.00425531914893617,0.0,0.9702127659574468
C248,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.7569987277080907,0.83589264430878,3,PANX1 SLC1A3 TMEM51,0.748007969879812,0.8288472555325264,3,PANX1 SLC1A3 TMEM51,0.6751173641042012,0.682703221398862,4,ASAH1 PANX1 SLC1A3 SLC6A15,19.951741441912226,5.8800007884104915,4,ACER1 ASAH1 SGMS1 SGMS2,0.28436242068822626,0.4752554645542961,2,SLC1A3 TMEM51,Sphingolipid metabolism,2,0,0.08,0.0,0.0,0.92
C242,2.7669382608500928,2.333390309270831,2,SYN1 UNC13A,8.565856525105733,2.105863230185946,9,ANK2 ATP6V0A1 LGI1 MAPT SNAP25 SNCA SYT1 UNC13A VAMP2,2.4958565994741484,1.761976122145791,3,ATP6V0A1 EPS15L1 UNC13A,1.4194169907226688,1.5052610198767447,2,EPS15L1 UNC13A,6.432017810673759,3.30478523038782,3,RAB3A SYN1 SYT1,7.96888927389859,1.1940294832940896,28,ANK2 ATP6V0A1 CCSAP DGKB DNAJC5 FAM53B FCMR GDPD5 LGI1 MAPT MEF2D NRGN NTRK2 PAH PANX1 PPARG RAB3A SLC1A3 SLC25A12 SNAP25 SNCA STXBP1 SYN1 SYP SYT1 TMEM51 UNC13A VAMP2,7.881995130960381,1.1868194952252455,28,ANK2 ATP6V0A1 CCSAP DGKB DNAJC5 FAM53B FCMR GDPD5 LGI1 MAPT MEF2D NRGN NTRK2 PAH PANX1 PPARG RAB3A SLC1A3 SLC25A12 SNAP25 SNCA STXBP1 SYN1 SYP SYT1 TMEM51 UNC13A VAMP2,7.636322019765176,1.0452821792655982,37,ANK2 ATL1 ATP6V0A1 CD81 CLEC16A DGKB DNAJC5 ELAVL4 EPS15L1 GDPD5 HGS HSPD1 KLC1 MAP1B MAPT MBNL1 MEF2D MEGF8 NEFM NTRK1 NTRK2 PANX1 PLD2 PNPLA6 SIRT2 SLC1A3 SLC25A12 SLC6A15 SNCA SPI1 SQSTM1 STUB1 STXBP1 SYN1 UNC13A VAMP2 VEGFB,-0.0,0.0,0,,5.4629611331732235,1.0506374922060466,23,ANK2 ATP6V0A1 CCSAP DGKB FAM53B FCMR GDPD5 LGI1 MAPT MEF2D NRGN NTRK2 PPARG RAB3A SLC1A3 SNAP25 SNCA SYN1 SYP SYT1 TMEM51 UNC13A VAMP2,Synaptic vesicle cycle,3,1,0.017241379310344827,0.005747126436781609,0.0,0.9770114942528736
C246,31.166702809306408,5.449353566863634,8,AMPH DNAJC6 DNM1 DNM3 PACSIN1 SH3GL2 SNAP91 STON2,10.742644064791635,2.982041092001719,6,DNM1 DNM3 PACSIN1 SH3GL2 SNAP91 SYT2,24.184616221195142,4.22365669997915,8,DNAJC6 DNM1 DNM3 EPS15L1 PACSIN1 SH3GL2 SNAP91 STON2,25.757496209079648,4.418293419463414,8,DNAJC6 DNM1 DNM3 EPS15L1 PACSIN1 SH3GL2 SNAP91 STON2,6.872547580210251,4.075646505197259,2,SH3GL2 SYNJ1,4.231796850140701,1.422959983990209,10,AAK1 DNM1 DNM3 PACSIN1 SH3GL2 SLC18A3 SNAP91 STON2 SYNJ1 SYT2,4.195171951724581,1.4158696420525114,10,AAK1 DNM1 DNM3 PACSIN1 SH3GL2 SLC18A3 SNAP91 STON2 SYNJ1 SYT2,4.104290526586062,1.2727719369145785,13,DNAJC6 DNM1 DNM2 DNM3 EPS15L1 PACSIN1 SH3GL2 SLC6A15 SNAP91 STAM STON2 SYNJ2 VAMP7,-0.0,0.0,0,,2.8786178063305377,1.2409651709541993,8,AAK1 DNM1 DNM3 PACSIN1 SH3GL2 SNAP91 SYNJ1 SYT2,Clathrin-mediated endocytosis,2,0,0.0392156862745098,0.0,0.0,0.9607843137254902
C258,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.5941466278584415,2.136076833862207,3,PANX1 SLC1A3 TMEM51,2.5799305145621765,2.1290318005510365,3,PANX1 SLC1A3 TMEM51,1.7022179572180953,1.6480527485618808,3,MEGF8 PANX1 SLC1A3,-0.0,0.0,0,,1.4211904156245236,1.6657364427501022,2,SLC1A3 TMEM51,C258,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C243,-0.0,0.0,0,,0.11199123031845744,0.2913122318880408,1,VAMP2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.0027750794664030097,0.0033640793746059217,6,FAM53B GDPD5 MEF2D PAH PPARG VAMP2,0.003054936497556016,-0.003702085589230464,6,FAM53B GDPD5 MEF2D PAH PPARG VAMP2,1.5834955659854653,0.6058686357489069,16,CD81 CLEC16A GDPD5 HGS HSPD1 MEF2D MEGF8 NTRK1 PLD2 PNPLA6 SIRT2 SPI1 SQSTM1 STUB1 VAMP2 VEGFB,-0.0,0.0,0,,0.08150536149288627,-0.09925584520803277,5,FAM53B GDPD5 MEF2D PPARG VAMP2,C243,1,0,0.009345794392523364,0.0,0.0,0.9906542056074766
C245,-0.0,0.0,0,,-0.0,0.0,0,,1.0532525992754684,1.7329984053308802,1,EPS15L1,1.208254857155396,1.9021021825326123,1,EPS15L1,-0.0,0.0,0,,0.3171871618200486,-0.5067522983783554,2,PAH SLC25A12,0.32269420280083083,-0.5137921314994394,2,PAH SLC25A12,0.420995378847174,0.3550843371176331,7,CD81 EPS15L1 HSPD1 MBNL1 NTRK1 SLC25A12 SQSTM1,-0.0,0.0,0,,-0.0,0.0,0,,melanosome,2,0,0.034482758620689655,0.0,0.0,0.9655172413793104
C247,6.90514656386407,4.022637551605918,2,SYN1 UNC13A,19.685669312164713,3.8353080878472845,8,ANK2 ATP6V0A1 LGI1 MAPT SNAP25 SNCA SYT1 UNC13A,4.345313347078466,3.022188413655522,2,ATP6V0A1 UNC13A,1.773459216064781,2.4499275980214055,1,UNC13A,13.16792662744603,5.0199466472919,3,RAB3A SYN1 SYT1,14.525666818750837,2.7232353364277513,16,ANK2 ATP6V0A1 CCSAP DNAJC5 LGI1 MAPT NRGN NTRK2 RAB3A SNAP25 SNCA STXBP1 SYN1 SYP SYT1 UNC13A,14.454595271901395,2.7161068602664225,16,ANK2 ATP6V0A1 CCSAP DNAJC5 LGI1 MAPT NRGN NTRK2 RAB3A SNAP25 SNCA STXBP1 SYN1 SYP SYT1 UNC13A,7.9119016354103575,1.9903937244817254,14,ANK2 ATL1 ATP6V0A1 DNAJC5 ELAVL4 MAP1B MAPT MEGF8 NEFM NTRK2 SNCA STXBP1 SYN1 UNC13A,-0.0,0.0,0,,12.709879968721365,2.5736220479647276,14,ANK2 ATP6V0A1 CCSAP LGI1 MAPT NRGN NTRK2 RAB3A SNAP25 SNCA SYN1 SYP SYT1 UNC13A,synaptic vesicle exocytosis,1,1,0.029411764705882353,0.029411764705882353,0.0,0.9411764705882353
C281,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.70425422742106,1.441137484415151,1,NTRK2,0.6994559669020254,1.434105109820699,1,NTRK2,2.5799144081917498,2.746898110299451,3,NEFM NTRK2 SQSTM1,-0.0,0.0,0,,0.7670619460109529,1.5313363247489082,1,NTRK2,C281,1,0,0.2,0.0,0.0,0.8
C259,-0.0,0.0,0,,-0.0,0.0,0,,3.269335433288914,3.6992244663736678,1,EPS15L1,3.5213243355834507,3.8683269868954335,1,EPS15L1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.0936128161914653,0.26043117663204995,1,EPS15L1,-0.0,0.0,0,,-0.0,0.0,0,,serine-type endopeptidase inhibitor activity,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
